,Object_Description,Program_Description,SubFund_Description,Job_Title_Description,Facility_or_Department,Sub_Object_Description,Location_Description,FTE,Function_Description,Position_Extra,Text_4,Total,Text_2,Text_3,Fund_Description,Text_1
21898,Salaries for Support Personnel,Special Education,,BUS MONITOR,,General,Transportation Office,1.0,Student Transportation,,,30291.7071715,,,General Fund,
24106,Professional Salaries,Special Education,,PHYS THERAPIST,,Occupation Therapist,Special Education AH/VH,1.0,Instruction,,,57329.5046357,,,IDEA-B Formula,
24206,CONTRA BENEFITS,EMPLOYEE BENEFITS,GENERAL FUND,"Teacher, Librarian H S ",,,,,NON-PROJECT,UNDESIGNATED,,-56.75,,n/a,,EMPLOYEE BENEFITS
24535,Employee Allowance,Basic Educational Services,,,,General,School ,,Instruction,,,0.17,,,General Fund,
25753,OTHER PERSONAL SERVICES       ,,,FOOD SERVICE ASSISTANT        ,,,School ,0.0,FOOD SERVICE                  ,,,63.92,,,FOOD SERVICES                 ,
26418,CONTRA BENEFITS,EMPLOYEE BENEFITS,GENERAL FUND,"Teacher, Librarian Elem ",,,,,NON-PROJECT,UNDESIGNATED,,-92.16,,n/a,,EMPLOYEE BENEFITS
26913,Salaries for Support Personnel,Undistributed,,REGISTRAR IV,,General,School ,1.0,School Leadership,,,60238.87185349999,,,General Fund,
27069,TELEPHONE/FACSIMILE SERVICES,PUBLIC COMMUNICATIONS SERVICES,GENERAL FUND,(blank),,,PUBLIC INFORMATION AND SERVICE,,NON-PROJECT,UNDESIGNATED,,4521.19,COMMUNICATIONS OFFICE,n/a,,CENTRAL
30800,Extra Duty/Signing Bonus Pay,Athletics and Related,,"AC, SOCCER",,General,School ,,Cocurricular & Extra Curricular Activities,,,4532.55415357,,,Athletics,
31691,Professional Salaries,Undistributed,,ADM SUP-PUB INF,,General,Superintendent,1.0,General Administration,,,89153.1524208,,,General Fund,
33760,Copier Rental,Basic Educational Services,,,,Line Item that is paid with Campus' money,School ,,Instruction,,,44499.82,,,General Fund,
35318,EMPLOYEE BENEFITS,GENERAL HIGH SCHOOL EDUCATION,GENERAL FUND,ELA General Assignment ,,,,,STATE ELPA (ENG LANG PROF ACT),PARAPROFESSIONAL,,1384.74,,Regular,,REGULAR INSTRUCTION
36160,Professional Salaries,Accelerated Education,,SOCIAL SVCS SPE,,General,Learning Support Services,1.0,Social Work Services,,,63457.3179607,,,General Fund,
37855,Professional Salaries,Special Education,,OCCUP THER,,Occupation Therapist,Special Education AH/VH,1.0,Instruction,,,62543.1856375,,,General Fund,
38078,Salaries for Support Personnel,Special Education,,TCHR ASST- SP E,,General,School ,1.0,Instruction,,,35174.4396411,,,General Fund,
38553,Employee Allowance,Undistributed,,CELL PHONE,,Mobile Phone,Network Support,,Data Processing Services,,,655.6210706539998,,,General Fund,
38813,RETIREMENT CONTRIB.,EMPLOYEE BENEFITS,GENERAL FUND,Nurse ,,,,,EMPLOYEE RETIREMENT,UNDESIGNATED,,402.88,,n/a,,EMPLOYEE BENEFITS
39614,Extra Duty/Signing Bonus Pay,Accelerated Education,,,,Test Prep,School ,,Instruction,,,13109.0614131,,,General Fund,
40687,EMPLOYEE BENEFITS,OFFICE OF THE SUPERINTENDENT,GENERAL FUND,Sr Academic Policy Advisor ,,,SUPERINTENDENT OF SCHOOLS,,NON-PROJECT,ADMINISTRATOR,,1800.84,OFFICE OF THE SUPERINTENDENT,n/a,,GENERAL ADMINISTRATION
40883,Salaries for Support Personnel,Undistributed,,FOOD PROD SP IV,,General,School ,0.8125,Food Services,,,25249.034071500002,,,Nat'l Schl Breakfast & Lunch Prog.,
41261,Purchased Services,,Support Services - Instructional Staff,,,Purchased Services,,,Instruction And Curriculum Development Services *,,,11349.73,,,Special Trust, TECH-GEMS TRAININ
45396,Salaries for Support Personnel,Special Education,,BUS DRIVER,,General,Transportation Office,1.0,Student Transportation,,,36194.198656699984,,,General Fund,
46416,General Supplies,State Comp.Ed.-Support Title I Campuses,,,,General,School ,,Curriculum & Instructional Staff Development,,,5999.95,,,Title I- Part A,
47096,SALARIES OF PART TIME EMPLOYEE,INSTRUCTIONAL STAFF TRAINING,ARRA - STIMULUS,"Teacher, Short Term Sub ",,,SPECIAL EDUCATION,0.004310344827590001,IDEA ARRA,PROFESSIONAL-INSTRUCTIONAL,,110.657938468,,n/a,,INSTRUCTIONAL STAFF
48212,Professional Salaries,Accelerated Education,,T-EL/SE ELY CHI,,Stud Support,School ,1.0,Instruction,,,52626.9589961,,,General Fund,
48263,Employee Allowances,Services To Students With Disabilities (Special Education),Idea Part B Formula,PROGRAM DIRECTOR,Instruction And Curriculum,Travel Allowances,Unallocated,,Instructional Leadership,PROGRAM DIRECTOR,Regular Salary,1814.80580175,,,Idea Part B Formula,TRAVEL
48802,Professional Salaries,Accelerated Education,,T-HS AVID,,AVID supplement,School ,0.2,Instruction,,,10593.237780799998,,,General Fund,
49143,Personal Services - Substitute Teachers Certified,Instruction - SPED,,,,,,0.0,,SUBSTITUTE TEACHER,Special Education Instruction,71.3599,,,General Purpose School,
50120,Professional Salaries,Special Education,,SPEECH PATH,,Speech Therapist,School ,0.69,Instruction,,,39324.3803043,,,General Fund,
50465,Personal Services - Other Personnel,District Administration,,DIR HUMAN CAPITAL STRATEGY,HUMAN RESOURCES,,Central Office,1.0,,EXECUTIVE NC DIRECTR,Race to the Top,107046.206016,,,School Federal Projects,RACE TO THE TOP
51175,CONFERENCE REGISTRATION       ,THINKING MAPS                 ,,,,,School ,,INST STAFF TRAINING SVCS      ,,,5099.22,,,FED THRU STATE-CASH ADVANCE   ,TITLE I                       
52565,Professional Salaries,Undistributed,,ADMIN INTERN,,General,Chief Operations Officer,1.0,Plant Maintenance & Operations,,,65312.51811540001,,,General Fund,
52862,Salaries for Support Personnel,Undistributed,,RISK MANAGER,,General,Insurance and Risk Management,1.0,General Administration,,,93836.8283157,,,Workers Comp Self Insurance,
53356,Employee Allowance,Undistributed,,CELL PHONE,,Mobile Phone,Network Support,,Data Processing Services,,,525.740856523,,,General Fund,
53664,Salaries for Support Personnel,Special Education,,TCHR ASST- SP E,,General,School ,1.0,Instruction,,,30482.1881988,,,General Fund,
54007,Electricity,Undistributed,,,,General,School ,,Plant Maintenance & Operations,,,80094.7,,,General Fund,
55597,Miscellaneous Contracted Srvcs,Undistributed,,,,Police Dept Courier Srvc,Early Childhood Center,,Food Services,,,246.25,,,Nat'l Schl Breakfast & Lunch Prog.,
56374,CONTRA BENEFITS,EMPLOYEE BENEFITS,GENERAL FUND,"Teacher, Elementary ",,,,,NON-PROJECT,UNDESIGNATED,,-932.02,,n/a,,EMPLOYEE BENEFITS
57394,ADDITIONAL/EXTRA DUTY PAY/STIP,INSTRUCTIONAL STAFF TRAINING,GENERAL FUND,Speech Language Pathologst ,,,TEACHER LEARNING & LEADERSHIP,,NON-PROJECT,PROFESSIONAL-INSTRUCTIONAL,,463.29552,TEACHER LEARNING & LEADERSHIP,n/a,,INSTRUCTIONAL STAFF
57469,EMPLOYEE BENEFITS,NURSING SERVICES,GENERAL FUND,Nurse ,,,SCHOOL NURSE SERVICES,,NON-PROJECT,PROFESSIONAL-INSTRUCTIONAL,,261.69,SCHOOL NURSE SERVICES,n/a,,STUDENTS
57625,Employee Allowance,Undistributed,,TRAVEL,,General,Student Services,,General Administration,,,340.97455674,,,General Fund,
57830,General Supplies,Undistributed,,,,General,Office of Innovation and Development,,General Administration,,,16382.73,,,General Fund,
59076,Salaries for Support Personnel,Undistributed,,CLERK IV- SCH,,General,School ,1.0,School Leadership,,,33108.8966821,,,General Fund,
59396,TRAVEL AND REGISTRATION,SUPPORT SERVICES-INSTRUCTIONAL,GENERAL FUND,(blank),,,,,NON-PROJECT,UNDESIGNATED,,721.93,INSTRUCTIONAL SUPPORT TEAMS,n/a,,INSTRUCTIONAL STAFF
59612,CONTRA BENEFITS,EMPLOYEE BENEFITS,GENERAL FUND,"Coordinator, Central Curr ",,,HUMANITIES,,NON-PROJECT,UNDESIGNATED,,-1286.08,,n/a,,EMPLOYEE BENEFITS
60870,"Water,Wastewater, Sanitation",Undistributed,,,,General,School ,,Plant Maintenance & Operations,,,47663.33,,,General Fund,
60990,Extra Duty/Overtime,Undistributed,,,,Line Item that is paid with Campus' money,School ,,School Leadership,,,3291.13679314,,,General Fund,
62039,Non Food,Undistributed,,,,General,School ,,Food Services,,,17469.1,,,Nat'l Schl Breakfast & Lunch Prog.,
62190,Professional Salaries,Undistributed,,EVAL SPEC. III,,General,Office of Program Evaluation,0.5,"Guidance, Counseling and Evaluation Services",,,31694.556080799994,,,General Fund,
63804,OTHER PURCHASED SERVICES,LEGAL SERVICES,GENERAL FUND,(blank),,,SCHOOL ATTORNEY,,NON-PROJECT,UNDESIGNATED,,17586.829999999998,LEGAL SERVICES,n/a,,GENERAL ADMINISTRATION
64627,,,LOCAL,"CLERK,DATA ENTRY,TYPING",,,,1.0,,,,41744.1869049,SCHOOL ADMINISTRATIVE SUPPORT,,,
65252,Professional Salaries,State Comp.Ed.-Support Title I Campuses,,INSTR/CURR SPEC,,General,School ,0.5,Instruction,,,30630.6378928,,,Title I- Part A,
65470,TEACHER COVERAGE FOR TEACHER,GENERAL ELEMENTARY EDUCATION,GENERAL FUND,Library Tech I ,,,,,NON-PROJECT,PROFESSIONAL-INSTRUCTIONAL,,471.9904,TEACHER SUBS,Regular,,REGULAR INSTRUCTION
66394,Employee Allowance,Accelerated Education,,TRAVEL,,General,Community Education-South,,Community Services,,,2634.62330403,,,General Fund,
66536,Other Professional and Technical Services,,Regular Instruction,,,Professional And Technical Services *,,,Middle/Junior High,,,-11499.42,,,Special Trust,CTR COMM SOL-BRICK MALE
67161,Professional Salaries,Accelerated Education,,COUNS- ELEM,,General,School ,1.0,"Guidance, Counseling and Evaluation Services",,,72168.6374546,,,General Fund,
67649,General Supplies,Undistributed,,,,General,Finance,,Data Processing Services,,,15000.15,,,General Fund,
68940,Misc Operating Expenses,Undistributed,,,,General,Purchasing,,General Administration,,,8000.25,,,General Fund,
69442,EQUIPMENT *,,Support Services - Instructional Staff,,,Equipment *,,,Other Improvements Of Instruction Services *,,,-28165.72,,,Special Trust,ADULT ED SPECIAL AGENCY
70801,RETIREMENT CONTRIB.,EMPLOYEE BENEFITS,GENERAL FUND,General Assignment ,,,ES TEAM ,,EMPLOYEE RETIREMENT,UNDESIGNATED,,107.72,,n/a,,EMPLOYEE BENEFITS
73075,SUPPLIES,Misc,MISCELLANEOUS,,,,ADMIN. SERVICES,,PUPIL SERVICES,,,-29.27,,,General Fund,
74067,Extra Duty/Signing Bonus Pay,Athletics and Related,,"HC, TRACK",,General,School ,,Cocurricular & Extra Curricular Activities,,,1815.99946571,,,Athletics,
75614,Professional Salaries,Special Education,,SPEECH PATH-BIL,,Speech Therapist,Special Education,1.0,Instruction,,,75871.5769501,,,General Fund,
75747,Professional Salaries,Basic Educational Services,,T-EL SPANISH,,Expend Activity Funded,School ,0.75,Instruction,,,45749.2128068,,,Student Activity Account,
76036,Extra Duty/Signing Bonus Pay,Athletics and Related,,"AC,JR VAR WREST",,General,School ,,Cocurricular & Extra Curricular Activities,,,2871.52810792,,,Athletics,
76998,,,LOCAL,Assistant,,,LOGISTICS,1.0,,,,47464.6977767,"LOGISTICS- MAIL,PRINTING & DUPLICATING",,,
77099,,Misc,,School Data Clerk,,,,1.0,,DATA CLERK ,,43614.7,,,General Fund,
77405,,Basic Educational Services,,,,Line Item that is paid with Campus' money,School ,,Instruction,,,1999.88,,,General Fund,
78609,SALARIES OF PART TIME EMPLOYEE,INSTRUCTIONAL STAFF TRAINING,ARRA - STIMULUS,"Teacher, Short Term Sub ",,,,0.004310344827590001,TITLE I A - ARRA,PROFESSIONAL-INSTRUCTIONAL,,109.85793846799999,TEACHER LEARNING & LEADERSHIP,Regular,,INSTRUCTIONAL STAFF
78823,Personal Services - Health Services,Principal's Office,,THERAPIST ASST PHYSICAL,HEALTH SERVICES,,District Wide Resources,1.0,,ASST. THERAPIST,Special Education Support,47915.6528461,,,General Purpose School,
79966,General Supplies,Undistributed,,,,Line Item that is paid with Campus' money,School ,,Instructional Resource & Media Services,,,500.77,,,General Fund,
82568,Extra Duty/Signing Bonus Pay,Athletics and Related,,HS ATHL COORD,,General,School ,,Cocurricular & Extra Curricular Activities,,,7253.66851524,,,Athletics,
83082,,,LOCAL,"Analyst, Special Ed Data",,,EARLY STAGES,0.46,,,,27329.728076,EARLY STAGES,,,
84511,General Supplies,Gifted and Talented,,,,Gifted and Talented,School ,,Instruction,,,0.61,,,General Fund,
85760,ADDITIONAL/EXTRA DUTY PAY/STIP,INSTRUCTIONAL STAFF TRAINING,ITEMGD PRESCHOOL PROGRAM,"Teacher, Elementary ",,,EARLY CHILDHOOD EDUCATION,,ELPA - PRESCHOOL PROG,PROFESSIONAL-INSTRUCTIONAL,,72.72768,EARLY EDUCATION,n/a,,INSTRUCTIONAL STAFF
85793,Salaries for Support Personnel,Undistributed,,FOOD PROD SP IV,,General,School ,0.8125,Food Services,,,24098.9424715,,,Nat'l Schl Breakfast & Lunch Prog.,
86989,SALARIES OF PART TIME EMPLOYEE,SUPPORT SERVICES-INSTRUCTIONAL,GENERAL FUND,Secretary II ,,,GIFTED AND TALENTED,,STATE - GIFTED AND TALENTED,OFFICE/ADMINISTRATIVE SUPPORT,,144.94592,GIFTED AND TALENTED,n/a,,INSTRUCTIONAL STAFF
87186,EMPLOYEE BENEFITS,PSYCHOLOGICAL SERVICES,ITEMGD PRESCHOOL PROGRAM,Psychologist ,,,EARLY CHILDHOOD EDUCATION,,ELPA - PRESCHOOL PROG,PROFESSIONAL-INSTRUCTIONAL,,74.01,EARLY EDUCATION,n/a,,STUDENTS
87440,Rental: All Others,Undistributed,,,,General,Office of Facilities,,Plant Maintenance & Operations,,,94481.8,,,General Fund,
87472,Extra Duty/Overtime,Undistributed,,,,General,Network Support,,Data Processing Services,,,21848.949021800006,,,General Fund,
87698,Professional Services,Undistributed,,,,General,Office of Facilities,,Plant Maintenance & Operations,,,9999.96,,,General Fund,
88526,Extra Duty/Signing Bonus Pay,Undistributed,,,,Community Training and Assistance Center,School ,,Curriculum & Instructional Staff Development,,,3823.26457882,,,General Fund,
90462,OTHER SUPPLIES,SUPPORT SERVICES-INSTRUCTIONAL,FEDERAL GDPG FUND - FY ,(blank),,,EARLY CHILDHOOD EDUCATION,,HEAD START,UNDESIGNATED,,279.67,EARLY EDUCATION,n/a,,INSTRUCTIONAL STAFF
91307,Professional Salaries,Undistributed,,LIBRARIAN- ELEM,,General,School ,1.0,Instructional Resource & Media Services,,,66354.4411009,,,General Fund,
91932,Personal Services - Teachers,Instruction - Regular,,,,,,0.0,,CCOACH CERT TCHRACCT,Regular Instruction,4961.33,,,General Purpose School,
93762,NONCAPITALIZED  REMOD/RENOV   ,,,,,,School ,,FACILITIES ACQ AND CONST      ,,,53.88,,,MILLAGE                  ,PAINTNG & WATRPROOFNG-Host Bgt
94989,Professional Salaries,Special Education,,LSSP,,General,Special Ed Evaluation Services,0.5,"Guidance, Counseling and Evaluation Services",,,32995.7098817,,,General Fund,
95309,Misc Operating Expenses,Undistributed,,,,General,System Wide Testing,,"Guidance, Counseling and Evaluation Services",,,2749.85,,,General Fund,
95377,General Supplies,Bilingual Education,,,,Line Item that is paid with Campus' money,School ,,Instruction,,,100.33,,,General Fund,
96074,Salaries for Support Personnel,Undistributed,,BUS DRIVER,,General,Transportation Office,0.8125,Student Transportation,,,25989.5320097,,,General Fund,
96159,Professional Salaries,State Comp.Ed.-Support Title I Campuses,,BIL INST/CURR S,,General,School ,0.5,Curriculum & Instructional Staff Development,,,28855.5977928,,,Title I- Part A,
99309,GENERAL SUPPLIES,GENERAL ELEMENTARY EDUCATION,ITEMGD PRESCHOOL PROGRAM,(blank),,,,,ELPA - FULL-DAY KINDER,UNDESIGNATED,,,,Regular,,REGULAR INSTRUCTION
101746,Extra Duty/Signing Bonus Pay,Bilingual Education,,,,General,School ,,Instruction,,,5329.21962287,,,General Fund,
101935,Professional Salaries,Undistributed,,ELEM PRINCIPAL,,General,School ,1.0,School Leadership,,,100235.29282,,,General Fund,
101975,ADDITIONAL/EXTRA DUTY PAY/STIP,GENERAL ELEMENTARY EDUCATION,FEDERAL GDPG FUND - FY ,"Teacher, Librarian Elem ",,,ED RESOURCE SERVICES,,BLDG EARLY LIT IN LIBRARY BELL,PROFESSIONAL-INSTRUCTIONAL,,1934.32824,EDUCATIONAL RESOURCE SERVICES,n/a,,REGULAR INSTRUCTION
102660,Salaries for Support Personnel,Undistributed,,SR TELECOM ANST,,General,Network Support,1.0,Data Processing Services,,,75049.78945910002,,,General Fund,
104588,Professional Salaries,,,Police Communication Specialist,,,District Police,1.0,,,,44555.82863490001,,,General Fund,
106209,ADDITIONAL/EXTRA DUTY PAY/STIP,SUCCESS - ELEMENTARY,DISTRICT SPECIAL REVENUE FUNDS,Reading & Writing Asst ,,,,, SUCCESS,PROFESSIONAL-INSTRUCTIONAL,,241.7956,,Regular,,REGULAR INSTRUCTION
106790,Miscellaneous Contracted Srvcs,Special Education,,,,Special Education,School ,,Instruction,,,34.97,,,General Fund,
107898,Professional Salaries,Undistributed,,COORD-SUB SVCS,,General,Human Resources,1.0,General Administration,,,76669.5509751,,,General Fund,
109059,Salaries for Support Personnel,Accelerated Education,,HIGH DOSE TUTOR,,Math/Reading Middle School Initiative,School ,1.0,Instruction,,,29709.0252493,,,General Fund,
110076,Reproduction Services,Special Education,,,,Cycle  (used for grants),Special Education,,Community Services,,,1199.94,,,IDEA-B Formula,
112689,Employee Allowance,Undistributed,,TRAVEL,,General,Management Info System,,Data Processing Services,,,1952.59419055,,,General Fund,
112854,Copier Rental,Undistributed,,,,General,Office of Facilities,,Plant Maintenance & Operations,,,7700.24,,,General Fund,
113406,Salaries for Support Personnel,Undistributed,,EXEC ASST II,,General,Assoc Superintendent-Area ,1.0,Instructional Leadership,,,54467.6166927,,,General Fund,
113424,CONTRA BENEFITS,EMPLOYEE BENEFITS,GENERAL FUND,"Teacher, Super Sub Rtd D/D ",,,,,NON-PROJECT,UNDESIGNATED,,-5.34,,n/a,,EMPLOYEE BENEFITS
114040,ALL OTHER SUPPLEMENTS         ,,,TEACHER ASSISTANT-TITLE I-ELEM,,,School ,,BASIC (FEFP K-12)             ,,,677.25,,,GENERAL FUND                  ,TEACHER ASST EDUC SUPPLEMENT  
114140,SALARIES OF REGULAR EMPLOYEES,GIFTED AND TALENTED,GENERAL FUND,"Teacher, Itinerant ",,,GIFTED AND TALENTED,0.502733060556,STATE - GIFTED AND TALENTED,PROFESSIONAL-INSTRUCTIONAL,,35127.664196099984,GIFTED AND TALENTED,n/a,,REGULAR INSTRUCTION
114463,Education Service Center Services,Gifted And Talented,,,Gifted And Talented,ESC (Fee),Unallocated,,Instructional Leadership,,,264.81,,,General Operating Fund,
114656,Professional Salaries,Undistributed,,TECH CURR SPEC,,General,Network Support,1.0,Data Processing Services,,,87064.311779,,,General Fund,
114917,Professional Salaries,Basic Educational Services,,T-HS HISTORY,,General,School ,0.5,Instruction,,,31275.3336768,,,General Fund,
116208,Salaries for Support Personnel,Undistributed,,SECURITY GUARD,,General,School ,1.0,Security & Monitoring Servicess,,,28730.577182,,,General Fund,
117855,SUPPLIES,Misc,SCHOOL NUTRITION SERVICE,,,,,,SCHOOL NUTRITION,,,2246.33,,,School Nutrition Service Fund,
119391,Employee Allowance,Undistributed,,TRAVEL,,General,Office of Innovation and Development,,General Administration,,,8193.90838318,,,General Fund,
119893,Copier Rental,Basic Educational Services,,,,Line Item that is paid with Campus' money,School ,,Instruction,,,9999.2,,,General Fund,
122394,WORKSHOP PARTICIPANT          ,COMMON CORE STATE STANDARDS   ,,ASSISTANT PRINCIPAL II-HIGH   ,USING DATA HUMAN CAPITAL DECIS,,CHIEF ACADEMIC OFFICER        ,,STAFF SERVICES                ,,,518.46,,,ARRA - RACE TO THE TOP        ,RACE TO THE TOP               
122975,,SPECIAL EDUCATION CATEGORY V,,Occupational Therapist,,,,0.5,,OCCUPATIONAL THERAPIST ,,22309.215,,,General Fund,
124409,,Undistributed,,,,General,Assoc Superintendent-Area  Elementary ,,Instructional Leadership,,,1755.26,,,General Fund,
127481,SALARIES OF PART TIME EMPLOYEE,GENERAL ELEMENTARY EDUCATION,GENERAL FUND,"Teacher,Retrd Shrt Term Sub ",,,,,UNALLOC BUDGETS/SCHOOLS,PROFESSIONAL-INSTRUCTIONAL,,19.31048,TEACHER SUBS,Regular,,REGULAR INSTRUCTION
127931,SALARIES OF PART TIME EMPLOYEE,EARLY CHILDHOOD,DISTRICT SPECIAL REVENUE FUNDS,Early Childhood Education ,,,,0.205546158961,TUITION BASED - ECE,PARAPROFESSIONAL,,3261.60804039,,Regular,,REGULAR INSTRUCTION
128058,Salaries for Support Personnel,Undistributed,,FOOD PROD SP V,,General,School ,0.875,Food Services,,,25853.6978287,,,Nat'l Schl Breakfast & Lunch Prog.,
128764,Extra Duty/Signing Bonus Pay,Athletics and Related,,"ASST COACH,NVFB",,General,School ,,Cocurricular & Extra Curricular Activities,,,2492.70890539,,,Athletics,
128986,Food/Refreshment,Undistributed,,,,Line Item that is paid with Campus' money,School ,,Curriculum & Instructional Staff Development,,,1500.68,,,General Fund,
129121,Salaries for Support Personnel,Undistributed,,FOOD PROD SP II,,General,School ,0.5,Food Services,,,12835.750147799998,,,Nat'l Schl Breakfast & Lunch Prog.,
130069,Salaries And Wages For Teachers And Other Professi,"""Title I, Part A Schoolwide Activities Related To State Comp",State Ed. Allotment,AT RISK LITERACY TEACHER (LIBRARIAN),All Campus Payroll,Salaries And Wages For Teachers And Other Professi,School ,1.0,Instruction,LITERACY SPECIALIST,,53585.19223480001,,,General Operating Fund,REGULAR PAY
130113,Part-Time Hourly,Special Education,,,,General,School ,,Instruction,,,0.81,,,General Fund,
130696,Salaries Or Wages For Support Personnel,Undistributed,Operations,"TEMPORARY,FINANCE DEPT.",Textbook Department,Temporary / Part-Time Support Personnel,Unallocated,0.0,Facilities Maintenance And Operations,COLLEGE STUDENT,,939.37459121,,,General Operating Fund,REGULAR PAY
130885,BOOKS (OTHER THAN TEXTBOOKS) AND PERIODICALS,MEDIA CENTERS,MEDIA CENTERS,,,,,,EDUCATIONAL MEDIA SERVICE,,,115.33,,,General Fund,
132260,EQUIPMENT *,,Operation And Maintenance Of Plant Services,,,Equipment *,,,Care And Upkeep Of Equipment And Furniture Services,,,3334.7200000000007,,,Special Trust,BP AMER/TRW SCH OF SCIENC
132572,CONTRA BENEFITS,EMPLOYEE BENEFITS,GENERAL FUND,"Teacher, Super Sub Rtd D/D ",,,,,NON-PROJECT,UNDESIGNATED,,-11.39,,n/a,,EMPLOYEE BENEFITS
133882,GENERAL SUPPLIES,OTHER GENERAL EDUCATION,DISTRICT SPECIAL REVENUE FUNDS,(blank),,,,,DELL COMPUTERS,UNDESIGNATED,,672.88,,n/a,,OTHER EDUCATION
134185,,NURSES,,Clinic Assistant,,,,1.0,,CLINIC ASSISTANT ,,32921.25,,,General Fund,
134419,OTHER PERSONAL SERVICES       ,,,SUB TEACHER ALL               ,,,School ,0.0,VOCATIONAL (K-12)             ,,,75.36,,,GENERAL FUND                  ,
134827,Employee Allowance,Accelerated Education,,CELL PHONE,,Mobile Phone,School ,,Social Work Services,,,392.92064239300004,,,General Fund,
136056,EMPLOYEE BENEFITS,SPECIAL EDUCATION-HD ELEM,GENERAL FUND,"Teacher,Spec Ed Center Prg ",,,,,SPECIAL ED. - SEVERE NEEDS,PROFESSIONAL-INSTRUCTIONAL,,595.48,SEVERE DISABILITIES,Regular,,SPECIAL EDUCATION
137287,SALARIES FOR OVERTIME,COMMUNITY SERVICE,DISTRICT SPECIAL REVENUE FUNDS,Custodian - PT -  Jobs ,,,COMMUNITY USE OF FACILITIES,,COMMUNITY USE OF BUILDINGS,"CRAFTS, TRADES, AND SERVICES",,42.29248,FACILITY SERVICES,n/a,,COMMUNITY SERVICES OPERATION
