,Function,Use,Sharing,Reporting,Student_Type,Position_Type,Object_Type,Pre_K,Operating_Status,Object_Description,Text_2,SubFund_Description,Job_Title_Description,Text_3,Text_4,Sub_Object_Description,Location_Description,FTE,Function_Description,Facility_or_Department,Position_Extra,Total,Program_Description,Fund_Description,Text_1
3395,Substitute Compensation,Instruction,School Reported,School,Unspecified,Substitute,Benefits,NO_LABEL,PreK-12 Operating,EMPLOYEE BENEFITS,TEACHER SUBS,GENERAL FUND,"Teacher, Short Term Sub ",Turnaround,,,,,UNALLOC BUDGETS/SCHOOLS,,PROFESSIONAL-INSTRUCTIONAL,2.83,GENERAL HIGH SCHOOL EDUCATION,,REGULAR INSTRUCTION
4490,Other Compensation,Instruction,School on Central Budgets,Non-School,Unspecified,Other,Benefits,NO_LABEL,PreK-12 Operating,CONTRA BENEFITS,,GENERAL FUND,Geographic Systems Analyst ,n/a,,,PLANNING AND INNOVATION,,NON-PROJECT,,UNDESIGNATED,-215.13,EMPLOYEE BENEFITS,,EMPLOYEE BENEFITS
4593,Teacher Compensation,Instruction,School Reported,School,Special Education,Teacher,Base Salary/Compensation,NO_LABEL,PreK-12 Operating,SALARIES OF REGULAR EMPLOYEES,SEVERE DISABILITIES,GENERAL FUND,"Teacher,Spec Ed Center Prg ",Regular,,,,,SPECIAL ED. - SEVERE NEEDS,,PROFESSIONAL-INSTRUCTIONAL,1863.98648,SPECIAL EDUCATION-HD MIDDLE,,SPECIAL EDUCATION
5050,Teacher Compensation,Instruction,School Reported,School,Unspecified,Teacher,Base Salary/Compensation,NO_LABEL,PreK-12 Operating,SALARIES OF REGULAR EMPLOYEES,,GENERAL FUND,"Teacher, Elementary ",Regular,,,,,ELA E-TEACHING SHELTERED ENG,,PROFESSIONAL-INSTRUCTIONAL,3730.4429600000003,GENERAL K-8 EDUCATION,,REGULAR INSTRUCTION
5066,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,Non-Operating,Office Supplies,,Support Services--Pupils,,,,General Supplies *,,,Other Support Services - Pupils,,,-2048.98,,Miscellaneous Federal Grants,CHILD CARE
5370,Student Assignment,Leadership,Shared Services,Non-School,Unspecified,Other,Base Salary/Compensation,NO_LABEL,PreK-12 Operating,SALARIES OF PART TIME EMPLOYEE,,GENERAL FUND,Temporary Employee ,n/a,,,SCHOOL CHOICE,0.04916487068969999,NON-PROJECT,,PROFESSIONAL-OTHER,1671.14389037,"PLANNING,RESEARCH,DEVELOPMENT",,CENTRAL
5916,Teacher Compensation,Instruction,School Reported,School,NO_LABEL,Teacher,NO_LABEL,NO_LABEL,PreK-12 Operating,,,,Teacher-Instructional Support,,,,,0.5,,,,47626.14,Misc,General Fund,
6029,Physical Health & Services,Pupil Services & Enrichment,School on Central Budgets,Non-School,Special Education,Other,Base Salary/Compensation,Non PreK,PreK-12 Operating,Personal Services - Health Services,,,,,Special Education Support,,District Wide Resources,0.0,,TIME CARD,TIME CARD CERTIFIED,188.1699,Principal's Office,General Purpose School,
6054,Enrichment,Pupil Services & Enrichment,Shared Services,Non-School,Unspecified,Other,Other Compensation/Stipend,Non PreK,PreK-12 Operating,Extra Duty Pay/Overtime For Support Personnel,,Operations,"TRANSPORTATION,BUS DR. SPEC.ED",,Game Workers,Extra Duty Pay/Overtime For Support Personnel,Unallocated,,Extracurricular Activities,Athletic Department,ATHLETIC OPTIONAL PAY,1095.52,Athletics And Related Activities,General Operating Fund,GAME WORK
6730,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,Non-Operating,Overtime *,,Operation and Maintenance of Plant Services,,,,Non-Certificated Salaries And Wages,,,Care and Upkeep of Building Services,,,-348.88,,Title I - Disadvantaged Children/Targeted Assistance,PARENT INVOLVEMENT
6794,"Finance, Budget, Purchasing & Distribution",Business Services,Leadership & Management,Non-School,Unspecified,NO_LABEL,Travel & Conferences,Non PreK,PreK-12 Operating,Travel And Subsistence - Employee Only,,,,,,Travel And Subsistence - Employee Only,Administration - No Description Provided,,General Administration,Finance Department,,23689.93,Undistributed,General Operating Fund,
7041,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,Non-Operating,Salaries Or Wages For Support Personnel,,"""Title  Part A Improving Basic Programs""","CLASSROOM AIDE, REGULAR",,,Salaries Or Wages For Support Personnel,Summer School,,Instruction,Instruction And Curriculum,AIDE,351.22,"""Title I, Part A Schoolwide Activities Related To State Comp","""Title  Part A Improving Basic Programs""",EXTENDED YEAR
7151,Physical Health & Services,Pupil Services & Enrichment,School on Central Budgets,Non-School,Special Education,Physical Therapist,Benefits,NO_LABEL,PreK-12 Operating,EMPLOYEE BENEFITS,SPEECH & LANGUAGE,GENERAL FUND,Physical Therapist ,n/a,,,SPECIAL EDUCATION,,SPECIAL EDUCATION - ITINERANT,,PROFESSIONAL-INSTRUCTIONAL,4816.06,SPECIAL EDUCATION-PT,,SPECIAL EDUCATION
8384,Instructional Materials & Supplies,Instruction,School Reported,School,NO_LABEL,NO_LABEL,Supplies/Materials,NO_LABEL,PreK-12 Operating,SUPPLIES,,PRIMARY GRADES PROGRAM ,,,,,,,INSTRUCTION,,,5011.38,PRIMARY GRADES PROGRAM ,General Fund,
8468,Professional Development,NO_LABEL,School Reported,School,NO_LABEL,NO_LABEL,Equipment & Equipment Lease,NO_LABEL,PreK-12 Operating,PURCHASE OF EQUIPMENT-OTHER THAN BUSES AND COMPUTE,,PROGRAM IMPROVEMENT INSTR,,,,,,,IMPROVEMENT OF INSTR SERV,,,244.78,Vocational  Grant-Program Improvement.,Vocational Education-Federal Funded,
8815,Enrichment,Pupil Services & Enrichment,School Reported,School,Special Education,Teacher,Other Compensation/Stipend,NO_LABEL,PreK-12 Operating,ALL OTHER SUPPLEMENTS         ,,,"TEACHER, ASD                  ",,,,School ,,BASIC (FEFP K-12)             ,,,745.4,,GENERAL FUND                  ,
8960,Student Transportation,O&M,Shared Services,Non-School,Unspecified,Other,Other Compensation/Stipend,Non PreK,PreK-12 Operating,Extra Duty Pay/Overtime For Support Personnel,,Operations,"TRANSPORTATION,BUS DR., RADIO",,transportation - Second Runs,Extra Duty Pay/Overtime For Support Personnel,Unallocated,,Transportation,Transportation Department,BUS DRIVER,1752.45,Undistributed,General Operating Fund,EXTENDED DAYS
9722,Other Compensation,Instruction,School Reported,School,Unspecified,Other,Other Compensation/Stipend,NO_LABEL,PreK-12 Operating,OTHER PERSONAL SERVICES       ,,,CLERICAL/TCHR ASST SUB        ,,,,School ,0.0,BASIC (FEFP K-12)             ,,,533.02,,GENERAL FUND                  ,
10876,Extended Time & Tutoring,Instruction,School Reported,School,Poverty,Teacher,Other Compensation/Stipend,Non PreK,PreK-12 Operating,Salaries And Wages For Teachers And Other Professi,,"""Title  School Improvement""","TEACHER, REGULAR",,,Extended Day,School ,,Instruction,Instruction And Curriculum,TEACHER MASTER,77.94327802859999,"""Title I, Part A Schoolwide Activities Related To State Comp","""Title  Part A Improving Basic Programs""",EXTENDED DAYS
10885,Career & Academic Counseling,Pupil Services & Enrichment,School Reported,School,Unspecified,Guidance Counselor,Base Salary/Compensation,NO_LABEL,PreK-12 Operating,SALARIES OF REGULAR EMPLOYEES,,GENERAL FUND,"School Counselor, High Sch ",Turnaround,,,,,NON-PROJECT,,PROFESSIONAL-INSTRUCTIONAL,-168.93792,GUIDANCE SERVICES,,STUDENTS
11087,Other Non-Compensation,Instruction,School Reported,School,Unspecified,Non-Position,Contracted Services,NO_LABEL,PreK-12 Operating,OTHER PROFESSIONAL SERVICES,,STATE AND LOCAL GDPG FUND,(blank),Regular,,,,,READ TO ACHIEVE ROUND THREE,,UNDESIGNATED,26986.01,GENERAL ELEMENTARY EDUCATION,,REGULAR INSTRUCTION
11147,Facilities & Maintenance,O&M,Leadership & Management,Non-School,Unspecified,Non-Position,Rent/Utilities,NO_LABEL,PreK-12 Operating,SUNDAY PAY,PUBLIC UTILITIES,LOCAL,,,,,ARTS CENTER,,,,ADDITIONAL GROSS PAY,251.64,NON-INSTRUCTIONAL SUPPORT SERVICES,LOCAL FUND,
11678,Facilities & Maintenance,NO_LABEL,School Reported,School,NO_LABEL,NO_LABEL,Rent/Utilities,NO_LABEL,PreK-12 Operating,ENERGY,,MISCELLANEOUS,,,,,,,MAINTENANCE AND OPERATING,,,252884.29,Misc,General Fund,
11684,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,Non-Operating,Salaries And Wages For Teachers And Other Professi,,"""Title  Part A Improving Basic Programs""","TEACHER, REGULAR",,,Extended Year,Summer School,,Instruction,Instruction And Curriculum,TEACHER BACHELOR,1734.26119996,"""Title I, Part A Schoolwide Activities Related To State Comp","""Title  Part A Improving Basic Programs""",EXTENDED YEAR
11690,Human Resources,Business Services,Leadership & Management,Non-School,Unspecified,Coordinator/Manager,Base Salary/Compensation,NO_LABEL,PreK-12 Operating,SALARIES OF REGULAR EMPLOYEES,EMPLOYEE BENEFITS,GENERAL FUND,Project Coordinator ,n/a,,,EMPLOYEE BENEFITS,0.333340362986,EMPLOYEE BENEFITS,,PROFESSIONAL-OTHER,23859.5624074,STAFF SERVICES,,CENTRAL
12451,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,Non-Operating,Supplies and Materials,,Support Services - Instructional Staff,,,,Supplies And Materials,,,Instruction And Curriculum Development Services *,,,4569.93,,Special Trust,ITEMS-VARIOUS GRANTS
12517,Food Services,O&M,School Reported,School,Unspecified,Other,Base Salary/Compensation,NO_LABEL,PreK-12 Operating,SALARIES OF PART TIME EMPLOYEE,FOOD SERVICES,FOOD SERVICE FUND,Food Service Worker II ,Regular,,,,0.0593755113172,NON-PROJECT,,"CRAFTS, TRADES, AND SERVICES",998.721731507,FOOD PREPARATION/SERVING,,FOOD SERVICES OPERATIONS
13009,Teacher Compensation,Instruction,School Reported,School,ELL,Teacher,Other Compensation/Stipend,Non PreK,PreK-12 Operating,Salaries And Wages For Teachers And Other Professi,,Operations,"TEACHER, BILINGUAL KINDERGATN",,,Critical Needs Incentive,School ,,Instruction,All Campus Payroll,TEACHER BACHELOR,4170.77393374,Bilingual Education And Special Language Programs,General Operating Fund,CRITICAL NEEDS SUPPLEMENT
13519,Physical Health & Services,Pupil Services & Enrichment,School on Central Budgets,Non-School,Special Education,Speech Therapist,Benefits,NO_LABEL,PreK-12 Operating,EMPLOYEE BENEFITS,,FEDERAL GDPG FUND - FY ,Speech Language Pathologst ,n/a,,,SPECIAL EDUCATION,,TITLE VI-IDEA B-MAIN,,PROFESSIONAL-INSTRUCTIONAL,56.25,SPECIAL EDUCATION-S/L,,SPECIAL EDUCATION
13826,School Supervision,Leadership,Leadership & Management,Non-School,Unspecified,Area Officers,Benefits,NO_LABEL,PreK-12 Operating,EMPLOYEE BENEFITS,ALTERNATIVE ED / CONSTITUENCY,GENERAL FUND,"Supt, Instructional ",n/a,,,ALTERNATIVE ED / CONSTITUENCY,,NON-PROJECT,,ADMINISTRATOR,3032.96,SUPPORT SERVICES-INSTRUCTIONAL,,INSTRUCTIONAL STAFF
14165,Instructional Materials & Supplies,Instruction,School Reported,School,NO_LABEL,NO_LABEL,Supplies/Materials,NO_LABEL,PreK-12 Operating,SUPPLIES,,PRIMARY EARLY INTERVENTION PROG ,,,,,,,INSTRUCTION,,,196.15,PRIMARY GRADES EARLY INTERVENTION PROGRAM  ,General Fund,
14198,Extended Time & Tutoring,Instruction,School Reported,School,Poverty,Teacher,Other Compensation/Stipend,Non PreK,PreK-12 Operating,Salaries And Wages For Teachers And Other Professi,,"""Title  Part A Improving Basic Programs""","TEACHER, REGULAR",,,Extended Day,School ,,Instruction,Instruction And Curriculum,TEACHER BACHELOR,260.470005445,"""Title I, Part A Schoolwide Activities Related To State Comp","""Title  Part A Improving Basic Programs""",EXTENDED DAYS
15327,Professional Development,ISPD,Shared Services,Non-School,Special Education,Teacher,Other Compensation/Stipend,NO_LABEL,PreK-12 Operating,ADDITIONAL/EXTRA DUTY PAY/STIP,,ARRA - STIMULUS,"Teacher,Spec Ed Center Prg ",n/a,,,SPECIAL EDUCATION,,IDEA ARRA,,PROFESSIONAL-INSTRUCTIONAL,96.59024000000001,INSTRUCTIONAL STAFF TRAINING,,INSTRUCTIONAL STAFF
15447,Aides Compensation,Instruction,School Reported,School,Special Education,TA,Benefits,NO_LABEL,PreK-12 Operating,EMPLOYEE BENEFITS,SEVERE DISABILITIES,GENERAL FUND,Elementary Spec Ed Para ,Regular,,,,,SPECIAL ED. - SEVERE NEEDS,,PARAPROFESSIONAL,301.24,SPECIAL EDUCATION,,SPECIAL EDUCATION
16717,Student Assignment,Leadership,Shared Services,Non-School,Unspecified,Other,Benefits,NO_LABEL,PreK-12 Operating,EMPLOYEE BENEFITS,,GENERAL FUND,"Specialist, New Schools ",n/a,,,SCHOOL CHOICE,,NON-PROJECT,,PROFESSIONAL-OTHER,2591.2,"PLANNING,RESEARCH,DEVELOPMENT",,CENTRAL
17185,Social & Emotional,Pupil Services & Enrichment,School on Central Budgets,Non-School,Unspecified,Social Worker,Benefits,NO_LABEL,PreK-12 Operating,EMPLOYEE BENEFITS,PSYCHOLOGICAL SERVICES,GENERAL FUND,Social Worker ,n/a,,,SOCIAL WORK SERVICES,,NON-PROJECT,,PROFESSIONAL-INSTRUCTIONAL,511.53,SOCIAL WORK SERVICES,,STUDENTS
17770,Physical Health & Services,NO_LABEL,School Reported,School,NO_LABEL,Nurse Aide,NO_LABEL,NO_LABEL,PreK-12 Operating,,,,Clinic Assistant,,,,,1.0,,,CLINIC ASSISTANT ,26960.2016384,NURSES,General Fund,
17783,Data Processing & Information Services,Business Services,School Reported,School,Unspecified,Other,Base Salary/Compensation,Non PreK,PreK-12 Operating,Salaries And Wages For Teachers And Other Professi,,Operations,COMPUTER TECHNOLOGY SPECIALIST,,Undistributed,Allotment Supplement (Career Ladder) Supplement,School ,0.01,Instructional Resources And Media Services,All Campus Payroll,TEACHER BACHELOR,962.651340602,Undistributed,General Operating Fund,REGULAR PAY
17941,Teacher Compensation,Instruction,School Reported,School,Unspecified,Teacher,Benefits,NO_LABEL,PreK-12 Operating,EMPLOYEE BENEFITS,,GENERAL FUND,"Teacher, Elementary ",Regular,,,,,ELA E-TEACHING SHELTERED ENG,,PROFESSIONAL-INSTRUCTIONAL,5000.88,GENERAL ELEMENTARY EDUCATION,,REGULAR INSTRUCTION
18757,Aides Compensation,Instruction,School Reported,School,PreK,TA,Other Compensation/Stipend,PreK,PreK-12 Operating,ADDITIONAL/EXTRA DUTY PAY/STIP,,DISTRICT SPECIAL REVENUE FUNDS,Early Childhood Education ,Regular,,,,,Innovation Grant,,PROFESSIONAL-INSTRUCTIONAL,2191.56,GENERAL K-8 EDUCATION,,REGULAR INSTRUCTION
18770,Food Services,O&M,School Reported,School,Unspecified,Other,Base Salary/Compensation,NO_LABEL,PreK-12 Operating,SALARIES OF PART TIME EMPLOYEE,FOOD SERVICES,FOOD SERVICE FUND,Food Service Worker II ,Regular,,,,0.524555390069,NON-PROJECT,,"CRAFTS, TRADES, AND SERVICES",7174.68174736,FOOD PREPARATION/SERVING,,FOOD SERVICES OPERATIONS
18872,Aides Compensation,Instruction,Shared Services,Non-School,Special Education,TA,Base Salary/Compensation,NO_LABEL,PreK-12 Operating,SALARIES OF PART TIME EMPLOYEE,SPECIAL ED SYSTEMWIDE COSTS,GENERAL FUND,Summer School Para ,n/a,,,SUMMER SCHOOL - ELEMENTARY SCH,0.0444366574056,SPECIAL ED - EARLY CHILDHOOD,,PARAPROFESSIONAL,1266.4677215,SPECIAL EDUCATION,,SPECIAL EDUCATION
19255,Physical Health & Services,NO_LABEL,School Reported,School,NO_LABEL,Physical Therapist,NO_LABEL,NO_LABEL,PreK-12 Operating,,,,Physical Therapist,,,,,0.2,,,PHYSICAL THERAPIST ,16576.420000000002,SPECIAL EDUCATION CATEGORY V,General Fund,
19303,Data Processing & Information Services,Business Services,School Reported,School,Unspecified,Other,Base Salary/Compensation,Non PreK,PreK-12 Operating,Salaries And Wages For Teachers And Other Professi,,Operations,COMPUTER TECHNOLOGY SPECIALIST,,Undistributed,Salaries And Wages For Teachers And Other Professi,School ,0.44,Instructional Resources And Media Services,All Campus Payroll,TEACHER MASTER,28641.7454203,Undistributed,General Operating Fund,REGULAR PAY
19386,Teacher Compensation,Instruction,School on Central Budgets,Non-School,Special Education,Teacher,Other Compensation/Stipend,NO_LABEL,PreK-12 Operating,ADDITIONAL/EXTRA DUTY PAY/STIP,HUMANITIES,GENERAL FUND,Teacher,n/a,,,HUMANITIES,,CORE MATTERS,,PROFESSIONAL-INSTRUCTIONAL,47.88512,INSTRUCTIONAL STAFF TRAINING,,INSTRUCTIONAL STAFF
20262,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,"Operating, Not PreK-12",Personal Services - Other Compensation,,,,,Adult Programs,,,0.0,,CAREER AND TECHNOLOGY EDUCATION,TIME CARD CERTIFIEDAddl,2685.02,Support - Regular Instruction,General Purpose School,
20404,Facilities & Maintenance,O&M,School Reported,School,Unspecified,Custodian,Base Salary/Compensation,NO_LABEL,PreK-12 Operating,,CUSTODIAL SERVICES,LOCAL,CUSTODIAN,,,,,1.0,,,,40392.83437310001,,,
20921,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,Non-Operating,NONCAPITALIZED  REMOD/RENOV   ,,,,,,,School ,,FACILITIES ACQ AND CONST      ,,,780.35,,MILLAGE                  ,GENERAL MAINTENANCE-Host Bgt  
21054,Extended Time & Tutoring,Instruction,Shared Services,Non-School,At Risk,Teacher,Other Compensation/Stipend,Non PreK,PreK-12 Operating,Salaries And Wages For Teachers And Other Professi,,State Ed. Allotment,"TEACHER, REGULAR",,,Extended Year,Summer School,,Instruction,Instruction And Curriculum,TEACHER BACHELOR,729.803175732,"""Title I, Part A Schoolwide Activities Related To State Comp",General Operating Fund,EXTENDED YEAR
22109,Career & Academic Counseling,Pupil Services & Enrichment,School Reported,School,Unspecified,Guidance Counselor,Benefits,NO_LABEL,PreK-12 Operating,EMPLOYEE BENEFITS,,GENERAL FUND,"Student Advisor, High Sch ",Regular,,,,,NON-PROJECT,,PROFESSIONAL-INSTRUCTIONAL,129.86,GUIDANCE SERVICES,,STUDENTS
23959,Substitute Compensation,Instruction,School Reported,School,Unspecified,Substitute,Substitute Compensation,Non PreK,PreK-12 Operating,Salaries And Wages For Substitute Professionals,,Operations,TEACHER SUBSTITUTE POOL,,Basic Educational Services - District Objective ,Salaries And Wages For Substitute Teachers,School ,,Instruction,All Campus Payroll,DEGREED SUBSTITUTE,189.225972222,Basic Educational Services,General Operating Fund,REGULAR PAY
23970,Instructional Materials & Supplies,Instruction,School Reported,School,NO_LABEL,NO_LABEL,Supplies/Materials,NO_LABEL,PreK-12 Operating,SUPPLIES,,CATEGORY III EXP ONLY SPECIAL ED,,,,,,,INSTRUCTION,,,150.25,SPECIAL EDUCATION CATEGORY III,General Fund,
24150,Aides Compensation,Instruction,School Reported,School,Unspecified,TA,Base Salary/Compensation,NO_LABEL,PreK-12 Operating,SALARIES OF PART TIME EMPLOYEE,,GENERAL FUND,Reading & Writing Asst ,Regular,,,,,NON-PROJECT,,PARAPROFESSIONAL,6247.2140205800015,GENERAL K-8 EDUCATION,,REGULAR INSTRUCTION
24169,Human Resources,Business Services,Leadership & Management,Non-School,Unspecified,Other,Base Salary/Compensation,NO_LABEL,PreK-12 Operating,,PERSONNEL,LOCAL,HR SPECIALIST,,,,OFFICE OF HUMAN RESOURCES,1.0,,,,46980.4788244,,,
24385,"Finance, Budget, Purchasing & Distribution",Business Services,Leadership & Management,Non-School,Unspecified,Coordinator/Manager,Base Salary/Compensation,Non PreK,PreK-12 Operating,Personal Services - Super / Dir / Supv,,,ACCOUNTS PAYABLE ADMINISTRATOR,,Fiscal Services,,Central Office,1.0,,FISCAL SERVICES,SUPERVISOR -  MON.,114956.31,District Administration,General Purpose School,
24414,School Administration,Leadership,School Reported,School,Unspecified,Principal,Base Salary/Compensation,NO_LABEL,PreK-12 Operating,SALARIES OF REGULAR EMPLOYEES,,GENERAL FUND,"Principal, Elementary ",Regular,,,,,NON-PROJECT,,ADMINISTRATOR,928.47072,SUPPORT SERVICES-SCHOOL ADMIN,,SCHOOL ADMINISTRATION
24822,Data Processing & Information Services,NO_LABEL,Leadership & Management,Non-School,NO_LABEL,NO_LABEL,Other Non-Compensation,NO_LABEL,PreK-12 Operating,DUES AND FEES,,MISCELLANEOUS,,,,,ADMIN. SERVICES,,SUPPORT SERVICES-CENTRAL,,,27370.07,Misc,General Fund,
24839,Recruitment,ISPD,Leadership & Management,Non-School,Unspecified,Teacher,Other Compensation/Stipend,Non PreK,PreK-12 Operating,Salaries And Wages For Teachers And Other Professi,,Operations,"TEACHER, REGULAR",,,Extra Duty Wages,Undistributed,,Curriculum Development And Instructional Staff Dev,"""Human Resources, Administration""",TEACHER BACHELOR,130.319459301,Undistributed,General Operating Fund,COOPERATING TEACHER STIPEND
25044,Substitute Compensation,Instruction,School Reported,School,Unspecified,Substitute,Substitute Compensation,NO_LABEL,PreK-12 Operating,OTHER PERSONAL SERVICES       ,,,SUB TEACHER ALL               ,,,,School ,0.0,BASIC (FEFP K-12)             ,,,2252.97,,GENERAL FUND                  ,
25368,School Administration,Leadership,School Reported,School,Unspecified,Principal,Other Compensation/Stipend,Non PreK,PreK-12 Operating,Salaries And Wages For Teachers And Other Professi,,Operations,SCHOOL PRINCIPAL,,Undistributed,Salaries And Wages For Teachers And Other Professi,School ,,School Leadership,All Campus Payroll,PRINCIPAL,7301.54661298,Undistributed,General Operating Fund,EX-CURR PRIN SUPPLEMENT
25926,Governance,Leadership,Leadership & Management,Non-School,Unspecified,(Exec) Director,Base Salary/Compensation,Non PreK,PreK-12 Operating,Personal Services - Other Personnel,,,BOARD MEMBER DISTRICT ,,Board of Education,,,1.0,,,BOARD MEMBER,23299.943990000003,District Administration,General Purpose School,
25942,Teacher Compensation,Instruction,School Reported,School,NO_LABEL,Teacher,NO_LABEL,NO_LABEL,PreK-12 Operating,,,,Teacher-Inter Relatated Resource,,,,,1.0,,,INTERRELATED ,86952.7,SPECIAL EDUCATION CATEGORY III,General Fund,
25965,Social & Emotional,Pupil Services & Enrichment,School Reported,School,Unspecified,Psychologist,Base Salary/Compensation,NO_LABEL,PreK-12 Operating,SALARIES OF REGULAR EMPLOYEES,,GENERAL FUND,Psychologist ,Regular,,,,,NON-PROJECT,,PROFESSIONAL-INSTRUCTIONAL,1054.5067199999999,PSYCHOLOGICAL SERVICES,,STUDENTS
25966,Data Processing & Information Services,Business Services,School Reported,School,Unspecified,Other,Base Salary/Compensation,Non PreK,PreK-12 Operating,Salaries And Wages For Teachers And Other Professi,,Operations,COMPUTER TECHNOLOGY SPECIALIST,,Basic Educational Services - District Objective ,Salaries And Wages For Teachers And Other Professi,School ,0.03,Instruction,All Campus Payroll,TEACHER MASTER,2654.93740962,Basic Educational Services,General Operating Fund,REGULAR PAY
26479,Substitute Compensation,Instruction,School Reported,School,Unspecified,Substitute,Benefits,NO_LABEL,PreK-12 Operating,EMPLOYEE BENEFITS,TEACHER SUBS,GENERAL FUND,"Teacher, Short Term Sub ",Regular,,,,,UNALLOC BUDGETS/SCHOOLS,,PROFESSIONAL-INSTRUCTIONAL,7.47,GENERAL ELEMENTARY EDUCATION,,REGULAR INSTRUCTION
