,party,infants,water,budget,physician,salvador,religious,satellite,aid,missile,immigration,synfuels,education,superfund,crime,duty_free_exports,eaa_rsa
39,democrat,1,0,1,0,0,0,1,1,1,1,1,0,1,0,1,1
40,democrat,1,1,1,0,0,0,1,1,1,0,0,0,0,0,0,1
41,democrat,1,1,1,0,0,0,1,1,1,0,0,0,0,0,1,1
42,democrat,1,0,1,0,0,0,1,1,1,0,0,0,0,0,0,1
43,democrat,1,0,1,0,0,0,1,1,1,0,0,0,0,0,1,1
44,democrat,1,1,1,0,0,0,1,1,1,0,1,0,0,0,0,1
45,democrat,1,1,1,0,0,0,1,1,1,0,1,0,0,0,1,1
46,democrat,1,1,1,0,0,0,1,1,1,0,0,0,0,0,0,1
47,democrat,1,0,1,0,0,0,1,1,1,0,0,0,0,0,0,1
48,democrat,1,1,1,0,0,0,1,1,0,0,0,0,0,1,0,1
49,republican,0,1,0,1,1,1,0,0,0,0,0,1,1,1,0,0
50,democrat,1,1,1,0,0,0,1,1,1,0,1,0,0,0,1,1
51,republican,0,1,0,1,1,1,0,1,0,0,0,1,1,1,0,1
52,democrat,1,1,1,0,0,0,1,1,1,0,0,0,0,0,0,1
53,republican,1,1,0,1,1,1,0,0,0,1,0,1,1,1,0,0
54,democrat,1,1,1,0,0,1,1,1,0,0,1,1,0,1,0,1
55,republican,0,1,0,1,1,1,0,0,0,1,1,1,1,1,0,0
56,republican,0,1,0,1,1,1,0,0,0,1,1,1,1,1,0,1
57,republican,0,1,0,1,1,1,0,0,0,1,0,1,1,1,0,1
58,republican,0,1,0,1,1,1,0,0,0,1,0,1,1,1,0,1
59,republican,0,1,0,1,1,1,0,0,0,1,0,1,1,1,0,1
60,democrat,1,1,1,0,0,1,1,1,1,1,0,0,0,0,1,1
61,republican,0,1,0,1,1,1,0,0,0,0,0,1,1,1,0,0
62,democrat,1,1,1,0,0,0,1,1,1,0,0,0,0,0,0,1
63,democrat,1,1,1,0,0,0,1,1,1,0,1,0,0,0,0,1
64,democrat,1,1,1,0,0,0,1,1,1,0,1,0,0,0,0,1
65,republican,1,1,0,1,1,1,1,0,0,0,0,1,1,1,0,1
66,republican,0,1,0,1,1,1,1,0,0,0,1,1,1,1,0,1
67,republican,0,1,0,1,1,1,0,0,0,1,0,1,1,1,0,0
68,democrat,1,1,1,0,0,0,1,1,1,0,0,0,1,0,1,1
69,democrat,1,1,1,0,0,0,1,1,1,0,0,0,0,0,1,1
70,democrat,1,0,1,0,0,0,1,1,1,0,0,0,1,0,1,1
71,republican,1,1,1,1,0,0,1,1,1,1,1,0,0,1,0,1
72,democrat,1,1,1,0,0,0,1,1,1,0,1,0,0,0,1,1
73,republican,1,0,1,1,1,0,1,0,1,1,0,0,1,1,0,1
74,democrat,1,0,1,0,0,1,1,1,1,1,1,0,0,1,1,1
75,democrat,0,1,1,1,1,1,0,0,0,1,1,0,1,1,0,0
76,democrat,0,1,1,0,1,1,0,0,0,1,1,1,1,1,0,1
77,democrat,0,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1
78,democrat,1,1,1,0,1,1,0,0,0,1,1,0,1,1,0,1
79,republican,0,0,0,1,1,0,0,0,0,1,0,1,1,1,0,0
80,democrat,1,0,1,0,0,1,1,1,1,1,0,1,0,1,0,1
81,democrat,1,0,1,0,0,0,1,1,1,1,1,1,0,1,0,1
82,republican,0,0,0,1,1,1,0,0,0,1,0,1,1,1,0,1
83,republican,0,0,0,1,1,1,0,0,0,0,0,1,1,1,0,0
84,republican,0,1,0,1,1,1,0,0,0,1,0,1,1,1,0,0
85,democrat,0,0,1,0,1,1,0,0,0,1,1,1,1,1,0,1
86,republican,0,0,0,1,1,1,0,0,0,1,0,1,1,1,0,0
87,republican,0,0,0,1,1,1,0,0,0,0,0,1,1,1,0,0
88,democrat,0,1,1,0,1,1,1,0,1,1,1,0,1,1,0,1
89,republican,0,0,0,1,1,1,0,0,0,1,0,0,1,1,0,1
90,democrat,1,0,1,0,0,0,1,1,1,1,0,0,0,0,1,1
91,democrat,1,0,1,0,0,0,1,1,1,1,1,0,0,0,1,1
92,democrat,1,1,1,0,0,0,1,1,0,1,1,0,0,1,1,1
93,democrat,1,0,1,0,0,0,1,0,1,1,1,0,0,0,1,1
94,democrat,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1
95,democrat,1,0,1,0,1,1,0,1,1,0,1,0,1,1,1,1
96,democrat,0,0,1,0,1,1,0,0,0,0,1,1,1,1,0,1
97,democrat,1,0,0,0,1,1,1,0,0,1,1,0,0,1,0,1
98,democrat,1,1,1,0,0,1,1,1,1,1,0,0,0,0,0,1
99,republican,0,0,0,1,1,1,0,0,0,1,0,1,1,1,0,0
100,democrat,1,0,0,0,1,1,0,0,0,0,1,1,0,1,0,1
101,democrat,1,0,1,0,1,1,1,0,0,0,1,0,0,1,0,1
102,democrat,1,0,1,0,1,1,1,0,1,0,1,0,1,1,1,1
103,democrat,1,0,0,0,1,1,1,0,1,0,0,0,0,1,0,0
104,democrat,0,1,1,0,0,1,1,1,1,1,0,0,1,1,0,1
105,democrat,1,1,1,0,0,0,0,1,1,0,1,0,0,0,1,1
106,republican,0,1,0,1,1,1,0,0,0,0,0,1,1,1,0,1
107,republican,0,1,1,0,1,1,1,1,1,1,0,0,1,1,0,1
108,democrat,1,1,1,0,0,0,1,1,1,0,0,0,0,0,1,1
109,democrat,1,1,1,0,0,0,1,1,1,0,0,0,0,0,1,1
110,democrat,0,0,1,0,0,0,1,1,1,1,0,0,0,0,1,1
111,republican,0,1,0,1,1,1,0,0,0,1,0,1,1,1,0,1
112,democrat,0,1,1,0,0,1,1,1,0,1,0,0,0,0,1,1
113,republican,0,1,0,1,1,1,0,0,0,1,0,1,1,1,0,0
114,democrat,1,1,1,0,0,0,1,1,1,0,0,0,0,0,1,1
115,democrat,0,1,1,0,1,1,1,1,1,1,0,0,0,0,1,1
116,democrat,1,0,1,0,0,0,1,1,1,0,1,0,0,0,1,1
117,republican,1,1,1,1,1,0,1,0,0,0,0,1,1,1,0,1
118,democrat,0,1,1,0,0,0,0,1,1,1,1,0,0,0,1,1
119,republican,0,0,0,1,1,1,0,0,0,0,0,1,1,1,0,0
120,republican,0,1,1,1,1,1,0,0,0,1,0,1,1,1,0,1
121,republican,0,1,0,1,1,1,0,0,0,1,0,1,1,1,0,1
122,republican,0,0,0,1,1,1,0,0,0,1,0,1,0,1,0,1
123,republican,1,1,0,1,1,1,0,1,0,0,0,1,1,1,0,1
124,democrat,0,1,1,0,0,0,1,1,1,0,0,0,0,0,1,1
125,republican,0,1,0,1,1,1,0,0,0,1,0,1,1,1,0,1
126,republican,0,1,0,1,1,1,0,0,0,0,0,1,1,1,0,0
127,democrat,0,1,1,0,0,0,1,1,1,1,1,0,0,1,1,1
128,democrat,0,1,1,0,0,1,0,1,0,1,1,0,0,0,1,1
129,democrat,0,1,1,0,0,0,1,1,1,0,0,0,1,1,0,1
130,democrat,1,1,1,0,1,1,1,1,1,0,0,0,0,0,1,1
131,democrat,0,0,1,0,0,1,0,1,1,1,0,0,0,1,0,1
132,republican,0,0,0,1,1,1,0,0,0,1,0,1,1,1,0,1
133,republican,0,0,0,1,1,1,0,0,0,1,0,1,1,1,0,1
134,republican,0,0,0,1,1,1,0,0,0,0,0,1,1,1,0,1
135,republican,0,0,0,1,1,1,0,0,0,1,0,1,1,1,0,0
136,republican,0,1,0,1,1,1,0,0,0,1,1,1,1,0,0,1
137,democrat,0,1,1,0,0,1,1,1,1,1,0,0,0,1,1,1
138,democrat,0,0,1,0,0,1,1,1,1,1,0,0,0,1,0,1
139,democrat,1,0,1,0,0,1,1,1,1,0,0,0,0,0,1,1
140,republican,0,0,0,1,0,0,1,1,1,1,0,0,1,1,0,1
141,republican,0,0,0,1,1,1,1,1,1,1,0,1,1,1,0,1
142,republican,0,0,0,1,1,1,1,1,1,1,0,1,1,1,0,1
143,democrat,0,1,0,0,0,0,1,1,1,1,1,0,0,1,1,1
144,democrat,0,1,0,0,0,1,1,1,1,1,0,0,0,1,0,1
145,democrat,0,0,1,0,0,1,1,1,1,1,0,0,0,1,0,1
146,republican,0,1,0,1,1,1,0,0,0,0,0,1,1,1,0,1
147,democrat,0,0,0,0,0,0,1,1,1,1,0,1,1,1,1,1
148,republican,0,1,0,1,1,1,0,0,0,1,1,1,1,1,0,1
149,democrat,0,0,1,0,0,0,1,1,1,1,0,0,1,0,1,1
150,republican,1,1,0,1,1,1,0,0,0,1,0,1,1,1,0,1
151,democrat,1,1,1,1,1,1,0,0,1,0,1,0,1,1,0,0
152,democrat,0,1,1,0,0,1,0,1,1,1,1,0,1,0,1,1
153,democrat,0,0,1,0,0,1,1,1,1,1,1,0,1,1,0,1
154,republican,0,1,0,1,1,1,0,0,0,0,0,1,1,1,0,0
155,republican,1,1,0,1,1,1,0,1,0,0,1,1,1,1,0,0
156,republican,1,1,0,1,1,1,1,0,0,0,0,1,1,1,0,0
157,democrat,0,1,1,0,0,1,0,1,1,0,1,0,1,1,0,1
158,republican,0,1,0,1,1,1,0,0,0,1,0,1,1,1,0,0
159,democrat,0,1,1,0,1,1,1,1,1,1,1,0,0,1,0,1
160,democrat,0,1,0,0,1,1,0,0,0,0,0,1,1,1,1,1
161,democrat,0,0,0,0,1,1,1,0,0,0,0,1,1,1,0,1
162,democrat,0,1,1,0,1,1,1,0,0,0,1,1,1,1,0,1
163,republican,0,1,0,1,1,1,1,0,0,0,0,1,1,1,0,1
164,democrat,1,1,0,0,1,1,0,0,0,1,1,1,1,1,0,1
165,democrat,0,1,1,0,0,1,1,1,1,1,1,0,1,0,1,1
166,republican,1,0,1,1,1,1,1,1,0,1,0,1,0,1,1,1
167,republican,1,0,1,1,1,1,1,1,0,1,1,1,0,1,1,1
168,democrat,0,0,1,1,1,1,0,0,1,0,0,0,1,1,1,1
169,democrat,1,0,1,0,0,0,1,1,1,1,1,0,0,1,0,1
170,democrat,1,0,1,0,0,0,1,1,1,1,0,0,0,0,1,1
171,republican,0,1,0,1,1,1,0,0,0,1,0,1,1,1,0,1
172,democrat,0,1,1,0,0,0,1,1,1,1,0,0,1,0,1,1
173,democrat,0,0,0,0,1,1,0,0,0,1,1,1,1,1,0,1
174,democrat,1,1,1,0,0,0,1,1,1,0,0,0,0,0,1,1
175,democrat,0,1,1,0,0,0,1,1,1,1,0,0,0,0,1,1
176,republican,0,0,1,1,0,0,1,1,1,1,0,0,0,1,1,1
177,democrat,0,0,1,0,0,0,1,1,1,1,1,0,0,0,1,1
178,democrat,0,0,1,0,0,0,1,1,1,1,1,0,0,0,1,1
179,democrat,1,0,1,0,0,0,1,1,1,1,0,0,0,0,1,1
180,democrat,0,1,1,0,0,0,1,1,1,1,0,0,0,0,0,1
181,democrat,0,0,1,0,0,0,1,1,1,1,1,0,0,0,1,1
182,democrat,1,1,1,0,0,0,1,1,1,0,0,0,0,0,1,1
183,democrat,0,1,1,0,1,1,1,1,1,1,0,0,1,1,0,1
184,democrat,0,0,1,0,0,0,1,1,1,1,1,0,0,0,1,1
185,democrat,1,0,1,0,0,0,1,1,1,1,0,0,0,0,1,1
186,democrat,0,1,1,0,0,0,1,1,1,1,1,0,0,0,1,1
187,democrat,1,0,1,0,0,0,1,1,1,0,0,0,0,0,1,1
188,republican,1,1,0,1,1,1,1,1,0,0,0,1,1,1,0,1
189,democrat,1,0,1,0,0,0,1,1,1,0,0,0,0,0,1,1
190,republican,0,1,0,1,1,1,0,0,0,0,0,1,1,1,0,1
191,republican,0,1,0,1,1,1,0,1,0,1,0,1,1,1,0,1
192,democrat,0,0,0,0,0,1,1,1,1,0,1,0,0,1,1,1
193,democrat,0,0,1,0,0,0,1,1,1,0,0,0,0,0,1,1
194,democrat,0,0,1,0,0,1,1,1,1,1,1,0,0,0,1,1
195,republican,0,0,0,1,1,1,0,0,0,0,0,1,1,1,0,1
196,democrat,0,0,1,0,0,1,1,1,1,0,1,1,0,1,1,1
197,republican,0,1,1,1,1,1,0,0,0,1,0,0,0,1,0,1
198,democrat,0,0,1,0,0,0,1,1,1,1,1,0,1,0,1,1
199,democrat,1,1,0,0,0,0,1,1,1,0,1,0,0,0,1,1
200,democrat,0,0,1,0,0,0,1,1,1,0,0,0,0,1,1,1
201,democrat,1,1,1,0,0,0,1,1,1,0,0,0,0,0,1,1
202,democrat,1,0,1,0,0,1,1,1,1,1,1,0,0,0,1,1
203,democrat,1,0,1,0,0,0,1,1,1,1,0,0,0,0,1,1
204,republican,0,0,1,1,1,1,1,0,0,0,0,1,1,1,0,1
205,democrat,0,0,1,0,0,1,1,1,1,1,0,1,0,0,0,1
206,republican,0,0,0,1,1,1,0,0,0,1,0,1,0,1,0,1
207,republican,1,1,0,1,1,1,1,0,0,1,0,1,1,1,0,1
208,democrat,0,0,1,0,0,0,1,1,1,0,0,0,0,0,1,1
209,democrat,1,1,1,0,0,0,1,1,1,1,1,0,0,0,0,1
210,democrat,0,0,1,0,0,1,1,1,1,0,0,0,0,0,1,1
211,republican,0,1,0,1,1,1,0,0,0,1,0,1,1,1,0,1
212,democrat,0,0,1,0,0,0,1,1,1,0,1,0,0,0,1,1
213,democrat,0,1,1,0,0,1,0,1,1,0,1,0,1,0,1,1
214,republican,1,1,0,1,1,1,0,0,0,1,0,1,1,1,0,1
215,democrat,0,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1
216,democrat,1,1,1,0,1,1,0,0,1,1,0,0,0,1,1,1
217,republican,0,1,0,1,1,1,0,0,0,1,0,1,1,1,0,0
218,democrat,1,1,1,0,0,0,1,1,1,0,0,0,0,0,1,1
219,democrat,0,1,1,0,0,0,0,1,1,0,1,0,0,1,1,1
220,democrat,0,0,1,0,0,0,1,1,1,0,0,0,0,0,1,1
221,democrat,0,1,1,0,1,1,0,0,0,0,1,0,0,0,1,1
222,democrat,1,0,1,0,0,0,1,1,1,0,1,0,0,0,1,1
223,republican,0,0,0,1,1,0,0,0,0,0,0,1,1,1,0,1
224,republican,0,1,0,1,1,1,0,0,0,1,0,0,1,1,0,0
225,republican,0,1,0,1,1,1,0,0,0,0,0,1,1,1,0,1
226,democrat,0,0,1,0,0,1,1,1,1,0,1,0,0,1,1,1
227,democrat,1,0,1,0,0,0,1,1,1,0,0,0,0,0,0,1
228,republican,0,1,0,1,1,1,0,0,0,0,0,1,1,1,0,1
229,republican,0,1,1,1,1,1,1,0,1,1,0,1,1,1,0,1
230,republican,0,1,0,1,1,1,0,0,0,0,0,1,1,1,0,1
231,republican,0,1,0,1,1,1,0,0,1,1,0,1,1,1,0,1
232,democrat,0,1,1,0,0,0,1,1,0,0,1,0,0,0,1,1
233,republican,0,1,0,1,1,1,0,0,0,1,0,1,1,1,0,1
234,democrat,0,0,1,0,0,1,1,1,1,1,0,1,0,1,1,1
235,republican,0,0,0,1,1,1,0,0,0,1,0,1,0,1,0,1
236,democrat,0,0,1,0,0,0,1,1,1,0,0,0,0,0,1,1
237,democrat,1,0,1,0,0,1,1,1,0,0,0,1,1,0,0,1
238,democrat,1,1,1,0,0,0,1,1,1,1,0,0,0,0,1,1
239,republican,0,0,0,1,1,1,1,0,0,1,0,0,0,1,1,1
240,republican,0,0,0,1,0,1,1,1,1,0,0,1,1,1,0,1
241,democrat,1,0,1,0,0,0,1,1,1,1,1,0,0,1,1,1
242,republican,0,0,0,0,1,1,1,0,0,0,0,0,0,1,1,1
243,democrat,0,1,1,0,0,0,1,1,1,1,0,0,1,0,1,1
244,democrat,1,0,1,0,0,0,0,1,1,1,0,0,0,0,1,1
245,democrat,1,0,1,0,0,0,1,1,1,1,1,0,0,0,1,1
246,democrat,0,0,1,0,1,0,1,1,1,0,0,0,0,1,0,1
247,republican,0,1,0,1,1,1,1,0,0,0,0,0,1,1,0,0
248,republican,0,1,1,0,1,1,1,1,1,1,0,0,1,1,0,1
249,democrat,1,0,1,0,0,0,1,1,1,0,1,0,0,0,1,1
250,republican,0,1,0,1,1,1,0,0,0,0,0,1,1,1,0,0
251,republican,0,1,0,1,1,1,0,0,0,0,0,1,1,1,0,0
252,democrat,1,1,1,0,0,1,1,1,1,0,0,0,0,0,1,1
253,republican,0,1,0,1,1,1,0,0,0,0,0,1,1,1,0,1
254,democrat,1,0,1,0,0,0,1,1,1,1,0,0,0,0,0,1
255,democrat,1,0,1,0,0,0,1,1,1,1,0,0,0,1,1,1
256,republican,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0
257,republican,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,1
258,democrat,0,0,1,0,0,0,1,1,1,0,1,0,0,0,1,1
259,democrat,1,0,1,0,0,0,1,1,1,0,0,0,0,0,0,1
260,democrat,1,0,1,0,0,0,1,1,1,1,0,0,0,0,0,1
261,democrat,1,0,1,0,0,1,1,1,1,0,0,0,0,1,0,1
262,democrat,1,0,1,0,0,0,1,1,1,1,0,0,1,0,1,1
263,democrat,1,0,1,0,0,0,1,1,1,0,0,0,0,0,1,1
264,democrat,1,0,1,0,0,0,1,1,1,0,0,0,0,0,1,1
265,democrat,1,0,1,0,0,0,1,1,1,1,0,0,0,0,0,1
266,republican,0,0,0,1,1,1,0,0,0,1,0,1,0,1,0,1
267,republican,1,0,0,0,0,0,1,1,1,1,0,0,0,1,0,1
268,democrat,1,0,1,0,0,0,1,1,1,0,0,0,0,0,1,1
269,democrat,1,0,1,0,0,0,1,1,1,0,0,0,0,0,0,1
270,democrat,1,1,1,0,0,0,1,1,1,0,0,0,0,0,1,1
271,democrat,0,1,1,0,0,1,1,1,1,0,0,0,0,0,0,1
272,democrat,1,0,1,0,0,0,1,1,1,1,0,0,0,0,1,1
273,republican,0,0,0,1,1,0,1,1,0,1,0,1,1,1,0,1
274,republican,1,0,0,1,1,0,1,0,0,1,0,0,0,1,1,1
275,democrat,0,0,1,0,1,1,0,0,0,0,0,0,1,1,0,0
276,republican,0,0,0,1,1,1,0,0,0,0,0,1,1,1,1,0
277,republican,0,0,1,1,1,1,1,1,0,1,0,0,0,1,0,1
278,republican,0,0,0,1,1,1,0,0,0,0,0,1,1,1,0,1
279,republican,0,0,0,1,1,1,0,0,0,1,0,1,1,1,0,0
280,democrat,0,0,1,0,0,0,1,1,1,1,0,0,0,1,0,1
281,republican,1,0,1,1,1,1,1,1,0,0,0,0,0,1,0,1
282,republican,1,0,0,1,1,1,0,0,0,1,0,0,1,1,0,0
283,republican,0,0,0,1,1,1,0,0,0,0,0,1,1,1,0,1
284,democrat,0,0,1,0,0,1,1,1,1,1,1,0,0,0,0,1
285,democrat,0,0,1,0,0,1,1,1,1,1,1,0,0,0,1,1
286,democrat,0,0,1,0,0,1,1,1,1,1,1,1,0,1,1,1
287,democrat,1,1,1,0,0,1,1,1,1,0,1,0,1,0,0,1
288,democrat,1,1,1,0,1,1,0,1,0,1,1,0,1,1,1,1
289,democrat,1,1,1,0,1,1,0,1,0,1,1,0,1,1,0,1
290,democrat,1,0,1,0,1,1,1,1,1,1,0,0,1,1,0,1
291,democrat,1,0,1,0,0,1,1,1,1,1,0,0,0,1,0,1
292,democrat,1,0,1,0,0,1,1,1,0,1,1,0,1,1,1,1
293,democrat,1,1,1,0,0,1,1,1,1,1,1,0,1,1,1,1
294,democrat,0,1,1,0,0,1,1,1,0,1,1,0,1,1,0,1
295,republican,0,1,0,1,1,1,1,1,0,1,0,1,1,1,0,1
296,republican,0,0,1,1,1,1,0,0,0,1,0,1,1,1,1,1
297,democrat,1,1,1,0,0,1,1,1,1,1,0,0,1,0,1,1
298,democrat,0,1,0,0,0,0,1,1,1,1,1,0,0,0,1,1
299,democrat,0,1,1,0,0,1,1,1,1,1,0,0,1,1,1,1
300,republican,0,0,0,1,1,0,1,1,1,1,0,1,1,1,0,1
301,democrat,0,0,1,0,0,1,1,1,1,0,0,0,0,0,1,1
302,republican,0,0,0,1,1,1,1,0,0,1,0,1,1,1,0,1
303,republican,0,0,0,1,1,1,0,0,0,0,0,1,1,1,0,0
304,republican,0,1,0,1,1,1,0,0,0,1,0,1,1,1,0,1
305,republican,0,0,0,1,1,1,0,0,0,1,0,1,1,1,0,0
306,republican,0,0,0,1,1,1,0,0,0,0,0,1,1,1,0,0
307,democrat,1,0,1,0,0,1,1,1,1,0,0,0,0,1,0,1
308,republican,0,0,0,1,1,1,0,0,0,1,0,1,1,1,0,0
309,democrat,1,0,0,0,0,1,1,1,1,1,0,0,0,1,1,1
310,republican,0,0,0,1,1,1,0,0,0,1,0,1,1,1,1,0
311,democrat,0,0,1,0,0,1,1,1,1,1,0,0,1,0,0,1
312,democrat,1,1,1,0,0,0,1,1,1,1,0,0,0,0,1,1
313,republican,0,1,1,1,1,1,0,0,0,1,0,1,1,1,0,1
314,republican,0,1,0,1,1,1,1,1,0,0,1,1,1,1,1,1
315,republican,0,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1
316,democrat,0,0,0,0,0,1,0,1,1,0,1,1,1,1,1,0
317,democrat,1,0,0,0,0,0,1,1,1,1,0,0,0,0,1,1
318,democrat,0,0,1,0,0,0,1,1,1,0,0,0,0,0,1,1
319,democrat,1,0,1,0,0,0,1,1,1,0,0,0,0,0,1,1
320,democrat,0,1,1,0,0,1,0,1,1,1,0,0,1,1,0,1
321,democrat,1,1,1,0,0,0,1,1,1,1,0,0,1,0,0,1
322,democrat,1,1,1,0,1,1,0,1,0,0,1,0,1,1,0,1
323,democrat,1,1,1,0,1,1,0,1,1,1,0,0,1,1,0,1
324,republican,0,1,0,1,1,1,0,0,0,0,1,1,1,1,0,0
325,democrat,0,1,0,0,1,1,0,0,1,0,0,1,1,1,0,1
326,democrat,1,1,0,1,0,0,1,1,1,0,1,0,0,1,0,1
327,republican,0,1,0,1,1,1,0,0,0,0,0,1,1,1,0,1
328,democrat,1,1,1,0,0,0,1,1,1,0,1,0,0,0,0,1
329,democrat,1,1,1,0,0,1,1,1,1,1,0,0,0,0,1,1
330,republican,0,1,0,1,1,1,0,0,0,1,0,1,1,1,0,0
331,democrat,1,1,1,0,0,0,1,1,1,0,0,0,0,0,1,1
332,democrat,1,0,1,0,0,0,1,1,1,0,1,0,0,0,1,1
333,democrat,0,0,1,0,0,0,1,1,1,0,0,0,0,0,1,1
334,democrat,0,1,1,0,0,1,1,1,1,0,1,1,0,0,1,1
335,republican,0,0,0,1,1,1,0,0,0,1,1,1,1,1,0,1
336,democrat,0,0,1,0,0,1,1,1,0,0,1,0,0,1,0,1
337,democrat,1,0,1,0,0,0,1,1,1,0,0,0,0,0,1,1
338,democrat,1,0,1,0,0,0,1,1,1,1,0,0,0,1,1,1
339,republican,1,0,0,1,1,1,0,0,0,0,1,1,1,1,0,0
340,republican,0,0,0,1,1,1,0,0,0,1,1,1,0,1,0,1
341,democrat,0,1,1,0,0,1,1,1,1,1,1,0,1,1,1,1
342,democrat,0,1,1,0,1,1,1,0,0,1,1,0,1,0,1,1
343,republican,0,0,0,1,1,0,1,0,1,1,0,0,0,1,0,1
344,democrat,0,0,1,0,0,0,1,1,1,1,1,0,0,0,1,1
345,republican,0,0,0,1,1,1,1,0,0,1,0,1,0,1,1,1
346,republican,0,0,0,1,1,1,0,0,0,1,0,1,1,1,0,1
347,republican,1,0,0,1,1,1,0,0,0,1,0,1,1,1,0,0
348,democrat,1,0,1,0,0,0,1,1,1,1,0,1,0,0,1,1
349,republican,0,1,1,1,1,1,1,1,1,0,0,1,1,1,0,1
350,democrat,0,1,0,0,0,1,1,0,1,0,1,0,0,0,1,1
351,republican,0,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1
352,democrat,0,1,0,1,0,1,1,1,1,0,1,0,1,0,1,1
353,republican,0,0,1,1,1,1,1,0,0,1,1,1,1,1,0,1
354,democrat,0,1,1,0,0,1,1,1,1,1,0,0,0,0,1,1
355,republican,1,0,1,1,0,0,0,1,1,1,0,0,0,1,1,1
356,republican,0,0,0,1,1,1,0,0,0,0,0,1,1,1,0,0
357,republican,0,0,0,1,1,1,0,0,0,0,0,1,1,1,0,0
358,democrat,1,1,1,0,0,1,1,1,1,1,1,1,1,1,0,1
359,republican,0,0,0,1,1,1,0,0,0,1,0,1,1,1,0,1
360,democrat,1,0,1,0,0,1,1,1,1,1,0,0,1,0,0,1
361,democrat,1,0,1,0,1,1,1,0,1,1,0,0,1,1,0,1
362,democrat,1,1,1,0,0,1,1,1,1,1,1,1,1,0,0,1
363,republican,1,1,0,1,1,1,0,0,0,1,1,0,1,0,0,0
364,republican,1,1,0,1,1,1,0,0,0,0,1,0,1,1,0,1
365,democrat,0,1,0,0,1,1,0,0,0,1,1,0,1,1,0,0
366,democrat,1,0,1,0,0,0,1,1,0,1,1,0,0,0,0,1
367,democrat,1,1,1,0,1,1,1,1,0,1,1,0,0,0,1,1
