,sender,recipient,time,year,month,day,hour,minute,second
71,41,56,2004-04-21 22:58:20,2004,4,21,22,58,20
72,41,61,2004-04-21 22:59:21,2004,4,21,22,59,21
73,41,43,2004-04-21 22:59:38,2004,4,21,22,59,38
74,41,52,2004-04-21 23:00:07,2004,4,21,23,0,7
75,41,58,2004-04-21 23:00:38,2004,4,21,23,0,38
76,41,59,2004-04-21 23:04:28,2004,4,21,23,4,28
77,9,64,2004-04-21 23:05:24,2004,4,21,23,5,24
78,9,58,2004-04-21 23:06:19,2004,4,21,23,6,19
79,12,66,2004-04-21 23:06:59,2004,4,21,23,6,59
80,32,58,2004-04-21 23:07:46,2004,4,21,23,7,46
81,12,66,2004-04-21 23:07:48,2004,4,21,23,7,48
82,67,32,2004-04-21 23:11:54,2004,4,21,23,11,54
83,41,32,2004-04-21 23:12:51,2004,4,21,23,12,51
84,67,32,2004-04-21 23:14:09,2004,4,21,23,14,9
85,32,68,2004-04-21 23:14:41,2004,4,21,23,14,41
86,68,56,2004-04-21 23:17:30,2004,4,21,23,17,30
87,67,32,2004-04-21 23:17:48,2004,4,21,23,17,48
88,67,32,2004-04-21 23:19:59,2004,4,21,23,19,59
89,68,61,2004-04-21 23:20:18,2004,4,21,23,20,18
90,67,32,2004-04-21 23:21:19,2004,4,21,23,21,19
91,67,8,2004-04-21 23:31:36,2004,4,21,23,31,36
92,69,67,2004-04-21 23:43:10,2004,4,21,23,43,10
93,70,51,2004-04-22 00:12:47,2004,4,22,0,12,47
94,44,50,2004-04-22 00:14:49,2004,4,22,0,14,49
95,67,32,2004-04-22 00:32:34,2004,4,22,0,32,34
96,71,58,2004-04-22 00:33:25,2004,4,22,0,33,25
97,71,72,2004-04-22 00:34:41,2004,4,22,0,34,41
98,51,58,2004-04-22 00:35:09,2004,4,22,0,35,9
99,72,71,2004-04-22 00:47:29,2004,4,22,0,47,29
100,73,74,2004-04-22 00:54:09,2004,4,22,0,54,9
101,74,73,2004-04-22 00:55:19,2004,4,22,0,55,19
102,73,74,2004-04-22 00:58:33,2004,4,22,0,58,33
103,74,73,2004-04-22 00:59:32,2004,4,22,0,59,32
104,34,58,2004-04-22 01:01:54,2004,4,22,1,1,54
105,44,75,2004-04-22 01:01:57,2004,4,22,1,1,57
106,44,75,2004-04-22 01:04:01,2004,4,22,1,4,1
107,9,58,2004-04-22 01:04:54,2004,4,22,1,4,54
108,73,74,2004-04-22 01:05:32,2004,4,22,1,5,32
109,9,76,2004-04-22 01:05:39,2004,4,22,1,5,39
110,32,77,2004-04-22 01:22:06,2004,4,22,1,22,6
111,41,76,2004-04-22 01:35:06,2004,4,22,1,35,6
112,41,78,2004-04-22 01:35:22,2004,4,22,1,35,22
113,79,48,2004-04-22 01:41:34,2004,4,22,1,41,34
114,79,63,2004-04-22 01:42:15,2004,4,22,1,42,15
115,41,80,2004-04-22 01:43:38,2004,4,22,1,43,38
116,79,58,2004-04-22 01:44:24,2004,4,22,1,44,24
117,41,81,2004-04-22 01:44:32,2004,4,22,1,44,32
118,79,70,2004-04-22 01:49:07,2004,4,22,1,49,7
119,19,82,2004-04-22 01:56:11,2004,4,22,1,56,11
120,19,72,2004-04-22 01:57:24,2004,4,22,1,57,24
121,12,32,2004-04-22 01:57:46,2004,4,22,1,57,46
122,19,64,2004-04-22 02:05:10,2004,4,22,2,5,10
123,19,58,2004-04-22 02:07:10,2004,4,22,2,7,10
124,19,58,2004-04-22 02:07:15,2004,4,22,2,7,15
125,19,58,2004-04-22 02:07:17,2004,4,22,2,7,17
126,19,52,2004-04-22 02:13:08,2004,4,22,2,13,8
127,83,59,2004-04-22 02:14:20,2004,4,22,2,14,20
128,51,70,2004-04-22 02:14:37,2004,4,22,2,14,37
129,38,58,2004-04-22 02:20:31,2004,4,22,2,20,31
130,41,58,2004-04-22 02:40:43,2004,4,22,2,40,43
131,63,79,2004-04-22 02:41:25,2004,4,22,2,41,25
132,41,63,2004-04-22 02:41:33,2004,4,22,2,41,33
133,67,59,2004-04-22 02:45:59,2004,4,22,2,45,59
134,41,63,2004-04-22 02:52:15,2004,4,22,2,52,15
135,41,58,2004-04-22 02:58:22,2004,4,22,2,58,22
136,44,84,2004-04-22 03:07:46,2004,4,22,3,7,46
137,19,85,2004-04-22 03:16:46,2004,4,22,3,16,46
138,19,72,2004-04-22 03:18:14,2004,4,22,3,18,14
139,3,84,2004-04-22 03:30:42,2004,4,22,3,30,42
140,19,8,2004-04-22 03:33:16,2004,4,22,3,33,16
141,19,58,2004-04-22 03:34:31,2004,4,22,3,34,31
142,84,86,2004-04-22 03:43:53,2004,4,22,3,43,53
143,83,58,2004-04-22 03:46:43,2004,4,22,3,46,43
144,36,60,2004-04-22 03:47:12,2004,4,22,3,47,12
145,86,48,2004-04-22 03:50:31,2004,4,22,3,50,31
146,87,63,2004-04-22 03:55:09,2004,4,22,3,55,9
147,36,88,2004-04-22 03:58:09,2004,4,22,3,58,9
148,87,8,2004-04-22 04:02:30,2004,4,22,4,2,30
149,36,89,2004-04-22 04:09:43,2004,4,22,4,9,43
150,90,56,2004-04-22 04:10:02,2004,4,22,4,10,2
151,36,90,2004-04-22 04:10:59,2004,4,22,4,10,59
152,36,84,2004-04-22 04:11:58,2004,4,22,4,11,58
153,91,92,2004-04-22 04:12:55,2004,4,22,4,12,55
154,36,93,2004-04-22 04:16:00,2004,4,22,4,16,0
155,91,92,2004-04-22 04:17:05,2004,4,22,4,17,5
156,36,90,2004-04-22 04:17:21,2004,4,22,4,17,21
157,91,92,2004-04-22 04:19:41,2004,4,22,4,19,41
158,36,60,2004-04-22 04:23:21,2004,4,22,4,23,21
159,36,84,2004-04-22 04:31:32,2004,4,22,4,31,32
160,51,58,2004-04-22 04:33:32,2004,4,22,4,33,32
161,94,84,2004-04-22 04:35:04,2004,4,22,4,35,4
162,36,84,2004-04-22 04:41:10,2004,4,22,4,41,10
163,94,84,2004-04-22 04:41:29,2004,4,22,4,41,29
164,94,84,2004-04-22 04:47:44,2004,4,22,4,47,44
165,69,84,2004-04-22 04:49:24,2004,4,22,4,49,24
166,69,95,2004-04-22 04:49:55,2004,4,22,4,49,55
167,87,8,2004-04-22 04:54:20,2004,4,22,4,54,20
168,3,84,2004-04-22 05:00:49,2004,4,22,5,0,49
169,3,84,2004-04-22 05:04:56,2004,4,22,5,4,56
170,48,86,2004-04-22 05:13:37,2004,4,22,5,13,37
171,84,8,2004-04-22 05:31:27,2004,4,22,5,31,27
172,91,81,2004-04-22 05:47:02,2004,4,22,5,47,2
173,96,88,2004-04-22 05:49:55,2004,4,22,5,49,55
174,8,84,2004-04-22 06:06:13,2004,4,22,6,6,13
175,84,8,2004-04-22 06:21:30,2004,4,22,6,21,30
176,91,47,2004-04-22 06:26:13,2004,4,22,6,26,13
177,97,98,2004-04-22 06:37:02,2004,4,22,6,37,2
178,98,97,2004-04-22 06:39:36,2004,4,22,6,39,36
179,97,98,2004-04-22 06:40:11,2004,4,22,6,40,11
180,48,97,2004-04-22 06:42:00,2004,4,22,6,42,0
181,99,8,2004-04-22 06:47:12,2004,4,22,6,47,12
182,99,8,2004-04-22 06:47:26,2004,4,22,6,47,26
183,97,48,2004-04-22 06:49:36,2004,4,22,6,49,36
184,100,101,2004-04-22 06:53:13,2004,4,22,6,53,13
185,102,97,2004-04-22 06:54:49,2004,4,22,6,54,49
186,97,48,2004-04-22 07:00:00,2004,4,22,7,0,0
187,97,102,2004-04-22 07:00:11,2004,4,22,7,0,11
188,101,100,2004-04-22 07:06:13,2004,4,22,7,6,13
189,48,58,2004-04-22 07:07:14,2004,4,22,7,7,14
190,97,48,2004-04-22 07:07:43,2004,4,22,7,7,43
191,103,72,2004-04-22 07:58:04,2004,4,22,7,58,4
192,103,58,2004-04-22 08:04:05,2004,4,22,8,4,5
193,104,59,2004-04-22 08:39:48,2004,4,22,8,39,48
194,104,59,2004-04-22 08:39:57,2004,4,22,8,39,57
195,103,72,2004-04-22 09:21:48,2004,4,22,9,21,48
196,105,56,2004-04-22 13:05:16,2004,4,22,13,5,16
197,106,72,2004-04-22 13:08:03,2004,4,22,13,8,3
198,105,61,2004-04-22 13:12:46,2004,4,22,13,12,46
199,105,8,2004-04-22 13:14:11,2004,4,22,13,14,11
200,105,33,2004-04-22 13:21:43,2004,4,22,13,21,43
201,105,107,2004-04-22 13:26:57,2004,4,22,13,26,57
202,105,81,2004-04-22 13:34:10,2004,4,22,13,34,10
203,44,102,2004-04-22 13:47:51,2004,4,22,13,47,51
204,36,105,2004-04-22 14:41:57,2004,4,22,14,41,57
205,36,104,2004-04-22 14:51:35,2004,4,22,14,51,35
206,34,108,2004-04-22 14:56:19,2004,4,22,14,56,19
207,34,109,2004-04-22 15:05:43,2004,4,22,15,5,43
208,36,110,2004-04-22 15:09:00,2004,4,22,15,9,0
209,111,112,2004-04-22 15:19:13,2004,4,22,15,19,13
210,34,58,2004-04-22 15:34:21,2004,4,22,15,34,21
211,36,113,2004-04-22 15:38:36,2004,4,22,15,38,36
212,36,109,2004-04-22 15:39:00,2004,4,22,15,39,0
213,79,109,2004-04-22 15:51:47,2004,4,22,15,51,47
214,114,105,2004-04-22 15:54:36,2004,4,22,15,54,36
215,101,115,2004-04-22 15:56:13,2004,4,22,15,56,13
216,56,90,2004-04-22 16:09:35,2004,4,22,16,9,35
217,56,105,2004-04-22 16:10:09,2004,4,22,16,10,9
218,56,68,2004-04-22 16:10:51,2004,4,22,16,10,51
219,29,58,2004-04-22 16:32:50,2004,4,22,16,32,50
220,87,58,2004-04-22 16:36:50,2004,4,22,16,36,50
221,44,116,2004-04-22 16:45:06,2004,4,22,16,45,6
222,44,117,2004-04-22 16:54:40,2004,4,22,16,54,40
223,44,117,2004-04-22 16:55:12,2004,4,22,16,55,12
224,44,79,2004-04-22 17:03:59,2004,4,22,17,3,59
225,80,58,2004-04-22 17:10:59,2004,4,22,17,10,59
226,96,32,2004-04-22 17:30:30,2004,4,22,17,30,30
227,118,100,2004-04-22 17:45:52,2004,4,22,17,45,52
228,119,120,2004-04-22 17:51:28,2004,4,22,17,51,28
229,119,120,2004-04-22 17:51:44,2004,4,22,17,51,44
230,120,119,2004-04-22 17:52:55,2004,4,22,17,52,55
231,120,75,2004-04-22 17:54:10,2004,4,22,17,54,10
232,119,120,2004-04-22 17:55:49,2004,4,22,17,55,49
233,120,119,2004-04-22 17:56:12,2004,4,22,17,56,12
234,119,58,2004-04-22 17:57:28,2004,4,22,17,57,28
235,74,73,2004-04-22 18:03:21,2004,4,22,18,3,21
236,118,120,2004-04-22 18:13:16,2004,4,22,18,13,16
237,121,108,2004-04-22 18:21:26,2004,4,22,18,21,26
238,72,106,2004-04-22 18:25:10,2004,4,22,18,25,10
239,44,92,2004-04-22 18:38:51,2004,4,22,18,38,51
240,26,122,2004-04-22 18:45:46,2004,4,22,18,45,46
241,44,79,2004-04-22 19:10:28,2004,4,22,19,10,28
242,1,123,2004-04-22 19:23:42,2004,4,22,19,23,42
243,96,124,2004-04-22 19:44:06,2004,4,22,19,44,6
244,125,126,2004-04-22 19:45:32,2004,4,22,19,45,32
245,36,104,2004-04-22 20:04:24,2004,4,22,20,4,24
246,44,79,2004-04-22 20:30:18,2004,4,22,20,30,18
247,44,79,2004-04-22 20:41:00,2004,4,22,20,41,0
248,36,124,2004-04-22 20:43:18,2004,4,22,20,43,18
249,36,127,2004-04-22 20:53:48,2004,4,22,20,53,48
250,36,128,2004-04-22 20:54:39,2004,4,22,20,54,39
251,44,79,2004-04-22 20:58:32,2004,4,22,20,58,32
252,44,129,2004-04-22 21:00:26,2004,4,22,21,0,26
253,44,116,2004-04-22 21:03:09,2004,4,22,21,3,9
254,9,120,2004-04-22 21:05:32,2004,4,22,21,5,32
255,79,58,2004-04-22 21:12:11,2004,4,22,21,12,11
256,36,109,2004-04-22 21:30:46,2004,4,22,21,30,46
257,124,109,2004-04-22 21:32:54,2004,4,22,21,32,54
258,36,109,2004-04-22 21:35:46,2004,4,22,21,35,46
259,124,61,2004-04-22 21:37:02,2004,4,22,21,37,2
260,124,72,2004-04-22 21:40:24,2004,4,22,21,40,24
261,36,109,2004-04-22 21:48:47,2004,4,22,21,48,47
262,36,112,2004-04-22 21:54:28,2004,4,22,21,54,28
263,124,85,2004-04-22 21:58:31,2004,4,22,21,58,31
264,85,124,2004-04-22 22:00:25,2004,4,22,22,0,25
265,32,130,2004-04-22 22:01:31,2004,4,22,22,1,31
266,36,112,2004-04-22 22:02:05,2004,4,22,22,2,5
267,124,85,2004-04-22 22:02:48,2004,4,22,22,2,48
268,72,124,2004-04-22 22:17:36,2004,4,22,22,17,36
269,124,8,2004-04-22 22:21:53,2004,4,22,22,21,53
270,131,30,2004-04-22 22:27:21,2004,4,22,22,27,21
271,99,126,2004-04-22 22:40:25,2004,4,22,22,40,25
272,103,72,2004-04-22 22:46:44,2004,4,22,22,46,44
273,103,72,2004-04-22 22:52:45,2004,4,22,22,52,45
274,103,63,2004-04-22 22:57:22,2004,4,22,22,57,22
275,103,117,2004-04-22 22:58:59,2004,4,22,22,58,59
276,103,72,2004-04-22 23:05:23,2004,4,22,23,5,23
277,131,30,2004-04-22 23:38:16,2004,4,22,23,38,16
278,69,95,2004-04-22 23:49:46,2004,4,22,23,49,46
279,69,124,2004-04-22 23:50:04,2004,4,22,23,50,4
280,69,79,2004-04-22 23:50:15,2004,4,22,23,50,15
281,132,30,2004-04-22 23:50:34,2004,4,22,23,50,34
282,36,99,2004-04-22 23:56:07,2004,4,22,23,56,7
283,36,133,2004-04-22 23:56:52,2004,4,22,23,56,52
284,36,60,2004-04-22 23:57:34,2004,4,22,23,57,34
285,36,134,2004-04-23 00:00:56,2004,4,23,0,0,56
286,36,133,2004-04-23 00:02:09,2004,4,23,0,2,9
287,36,81,2004-04-23 00:04:42,2004,4,23,0,4,42
288,103,72,2004-04-23 00:09:19,2004,4,23,0,9,19
289,103,135,2004-04-23 00:13:00,2004,4,23,0,13,0
290,133,135,2004-04-23 00:14:24,2004,4,23,0,14,24
291,135,133,2004-04-23 00:15:05,2004,4,23,0,15,5
292,36,133,2004-04-23 00:15:15,2004,4,23,0,15,15
293,103,135,2004-04-23 00:15:27,2004,4,23,0,15,27
294,19,52,2004-04-23 00:19:10,2004,4,23,0,19,10
295,133,135,2004-04-23 00:19:18,2004,4,23,0,19,18
296,103,135,2004-04-23 00:20:26,2004,4,23,0,20,26
297,103,135,2004-04-23 00:21:14,2004,4,23,0,21,14
298,135,133,2004-04-23 00:21:20,2004,4,23,0,21,20
299,133,135,2004-04-23 00:22:24,2004,4,23,0,22,24
300,36,133,2004-04-23 00:22:38,2004,4,23,0,22,38
301,36,133,2004-04-23 00:30:12,2004,4,23,0,30,12
302,36,133,2004-04-23 00:43:29,2004,4,23,0,43,29
303,9,109,2004-04-23 01:17:52,2004,4,23,1,17,52
304,9,109,2004-04-23 01:34:26,2004,4,23,1,34,26
305,62,136,2004-04-23 01:51:04,2004,4,23,1,51,4
306,96,32,2004-04-23 02:00:12,2004,4,23,2,0,12
307,137,138,2004-04-23 02:17:37,2004,4,23,2,17,37
308,96,137,2004-04-23 02:20:56,2004,4,23,2,20,56
309,19,120,2004-04-23 02:24:19,2004,4,23,2,24,19
310,44,90,2004-04-23 02:24:30,2004,4,23,2,24,30
311,96,137,2004-04-23 02:24:44,2004,4,23,2,24,44
312,137,138,2004-04-23 02:24:53,2004,4,23,2,24,53
313,19,139,2004-04-23 02:31:43,2004,4,23,2,31,43
314,44,60,2004-04-23 02:40:54,2004,4,23,2,40,54
315,44,88,2004-04-23 02:42:26,2004,4,23,2,42,26
316,44,102,2004-04-23 02:43:37,2004,4,23,2,43,37
317,44,90,2004-04-23 02:44:30,2004,4,23,2,44,30
318,19,111,2004-04-23 02:44:39,2004,4,23,2,44,39
319,44,90,2004-04-23 02:48:05,2004,4,23,2,48,5
320,9,32,2004-04-23 02:48:29,2004,4,23,2,48,29
321,44,90,2004-04-23 02:50:58,2004,4,23,2,50,58
322,44,90,2004-04-23 02:53:49,2004,4,23,2,53,49
323,103,63,2004-04-23 02:57:22,2004,4,23,2,57,22
324,103,72,2004-04-23 02:58:09,2004,4,23,2,58,9
325,38,86,2004-04-23 02:59:00,2004,4,23,2,59,0
326,140,105,2004-04-23 02:59:37,2004,4,23,2,59,37
327,103,72,2004-04-23 03:07:47,2004,4,23,3,7,47
328,38,86,2004-04-23 03:16:00,2004,4,23,3,16,0
329,38,101,2004-04-23 03:19:26,2004,4,23,3,19,26
330,38,101,2004-04-23 03:32:01,2004,4,23,3,32,1
331,38,101,2004-04-23 03:32:43,2004,4,23,3,32,43
332,103,101,2004-04-23 03:34:18,2004,4,23,3,34,18
333,38,101,2004-04-23 03:36:08,2004,4,23,3,36,8
334,103,101,2004-04-23 03:36:15,2004,4,23,3,36,15
335,38,61,2004-04-23 03:52:13,2004,4,23,3,52,13
336,75,120,2004-04-23 03:52:17,2004,4,23,3,52,17
337,38,81,2004-04-23 03:54:04,2004,4,23,3,54,4
338,44,141,2004-04-23 03:56:26,2004,4,23,3,56,26
339,44,141,2004-04-23 03:58:02,2004,4,23,3,58,2
340,44,74,2004-04-23 04:05:57,2004,4,23,4,5,57
341,44,127,2004-04-23 04:08:04,2004,4,23,4,8,4
342,124,135,2004-04-23 04:44:07,2004,4,23,4,44,7
343,140,124,2004-04-23 04:50:12,2004,4,23,4,50,12
344,19,82,2004-04-23 04:51:44,2004,4,23,4,51,44
345,19,82,2004-04-23 04:56:39,2004,4,23,4,56,39
346,19,82,2004-04-23 04:58:43,2004,4,23,4,58,43
347,105,56,2004-04-23 05:02:06,2004,4,23,5,2,6
348,19,82,2004-04-23 05:03:04,2004,4,23,5,3,4
349,124,135,2004-04-23 05:04:11,2004,4,23,5,4,11
350,105,58,2004-04-23 05:05:15,2004,4,23,5,5,15
351,105,63,2004-04-23 05:05:29,2004,4,23,5,5,29
352,19,82,2004-04-23 05:05:32,2004,4,23,5,5,32
353,105,61,2004-04-23 05:06:51,2004,4,23,5,6,51
354,105,135,2004-04-23 05:09:55,2004,4,23,5,9,55
355,124,135,2004-04-23 05:15:13,2004,4,23,5,15,13
356,71,72,2004-04-23 05:30:14,2004,4,23,5,30,14
357,135,124,2004-04-23 05:34:06,2004,4,23,5,34,6
358,9,32,2004-04-23 05:36:21,2004,4,23,5,36,21
359,63,105,2004-04-23 05:36:47,2004,4,23,5,36,47
360,72,71,2004-04-23 05:40:42,2004,4,23,5,40,42
361,142,58,2004-04-23 05:42:24,2004,4,23,5,42,24
362,124,135,2004-04-23 05:43:50,2004,4,23,5,43,50
363,124,135,2004-04-23 05:46:59,2004,4,23,5,46,59
364,143,32,2004-04-23 05:49:32,2004,4,23,5,49,32
365,144,99,2004-04-23 05:54:41,2004,4,23,5,54,41
366,144,105,2004-04-23 05:57:02,2004,4,23,5,57,2
367,144,121,2004-04-23 05:59:16,2004,4,23,5,59,16
368,9,109,2004-04-23 06:01:00,2004,4,23,6,1,0
369,103,109,2004-04-23 06:21:23,2004,4,23,6,21,23
370,103,63,2004-04-23 06:24:25,2004,4,23,6,24,25
371,103,63,2004-04-23 06:36:16,2004,4,23,6,36,16
372,103,109,2004-04-23 06:38:34,2004,4,23,6,38,34
373,48,81,2004-04-23 06:38:37,2004,4,23,6,38,37
374,95,81,2004-04-23 06:41:39,2004,4,23,6,41,39
375,145,48,2004-04-23 06:42:21,2004,4,23,6,42,21
376,95,63,2004-04-23 06:42:31,2004,4,23,6,42,31
377,145,95,2004-04-23 06:44:41,2004,4,23,6,44,41
378,95,109,2004-04-23 06:44:45,2004,4,23,6,44,45
379,145,95,2004-04-23 06:46:53,2004,4,23,6,46,53
380,145,48,2004-04-23 06:49:09,2004,4,23,6,49,9
381,145,95,2004-04-23 06:51:51,2004,4,23,6,51,51
382,145,48,2004-04-23 06:55:14,2004,4,23,6,55,14
383,145,48,2004-04-23 06:57:36,2004,4,23,6,57,36
384,95,109,2004-04-23 06:58:47,2004,4,23,6,58,47
385,96,48,2004-04-23 07:02:19,2004,4,23,7,2,19
386,95,109,2004-04-23 07:04:32,2004,4,23,7,4,32
387,96,95,2004-04-23 07:09:00,2004,4,23,7,9,0
388,96,95,2004-04-23 07:11:48,2004,4,23,7,11,48
389,96,48,2004-04-23 07:12:38,2004,4,23,7,12,38
390,96,95,2004-04-23 07:15:27,2004,4,23,7,15,27
391,105,144,2004-04-23 07:35:54,2004,4,23,7,35,54
392,105,63,2004-04-23 07:36:08,2004,4,23,7,36,8
393,6,146,2004-04-23 07:50:36,2004,4,23,7,50,36
394,44,60,2004-04-23 13:33:23,2004,4,23,13,33,23
395,44,105,2004-04-23 13:34:05,2004,4,23,13,34,5
396,63,95,2004-04-23 13:41:08,2004,4,23,13,41,8
397,44,32,2004-04-23 14:15:10,2004,4,23,14,15,10
398,114,105,2004-04-23 14:38:01,2004,4,23,14,38,1
399,34,109,2004-04-23 14:40:59,2004,4,23,14,40,59
400,36,105,2004-04-23 14:43:35,2004,4,23,14,43,35
401,36,109,2004-04-23 14:44:53,2004,4,23,14,44,53
402,36,147,2004-04-23 14:53:05,2004,4,23,14,53,5
403,44,32,2004-04-23 15:03:13,2004,4,23,15,3,13
404,19,120,2004-04-23 15:19:19,2004,4,23,15,19,19
405,9,136,2004-04-23 15:37:31,2004,4,23,15,37,31
406,9,148,2004-04-23 15:37:51,2004,4,23,15,37,51
407,9,149,2004-04-23 15:38:49,2004,4,23,15,38,49
408,9,150,2004-04-23 15:39:36,2004,4,23,15,39,36
409,9,151,2004-04-23 15:41:02,2004,4,23,15,41,2
410,9,152,2004-04-23 15:42:34,2004,4,23,15,42,34
411,9,153,2004-04-23 15:42:54,2004,4,23,15,42,54
412,9,58,2004-04-23 15:43:11,2004,4,23,15,43,11
413,9,58,2004-04-23 15:43:20,2004,4,23,15,43,20
414,9,135,2004-04-23 15:43:43,2004,4,23,15,43,43
415,9,22,2004-04-23 15:44:04,2004,4,23,15,44,4
416,9,8,2004-04-23 15:45:42,2004,4,23,15,45,42
417,9,154,2004-04-23 15:47:17,2004,4,23,15,47,17
418,9,121,2004-04-23 15:49:17,2004,4,23,15,49,17
419,1,135,2004-04-23 15:59:53,2004,4,23,15,59,53
420,3,155,2004-04-23 16:03:57,2004,4,23,16,3,57
421,36,109,2004-04-23 16:06:10,2004,4,23,16,6,10
422,3,155,2004-04-23 16:07:10,2004,4,23,16,7,10
423,30,132,2004-04-23 16:14:44,2004,4,23,16,14,44
424,3,58,2004-04-23 16:23:21,2004,4,23,16,23,21
425,68,56,2004-04-23 16:52:45,2004,4,23,16,52,45
426,36,156,2004-04-23 17:44:30,2004,4,23,17,44,30
427,131,30,2004-04-23 17:58:54,2004,4,23,17,58,54
428,101,51,2004-04-23 18:15:16,2004,4,23,18,15,16
429,101,34,2004-04-23 18:19:05,2004,4,23,18,19,5
430,9,8,2004-04-23 18:22:48,2004,4,23,18,22,48
431,36,73,2004-04-23 18:40:11,2004,4,23,18,40,11
432,96,95,2004-04-23 18:51:21,2004,4,23,18,51,21
433,9,76,2004-04-23 19:10:26,2004,4,23,19,10,26
434,9,8,2004-04-23 19:14:15,2004,4,23,19,14,15
435,9,157,2004-04-23 19:28:18,2004,4,23,19,28,18
