,survived,pclass,age,sibsp,parch,fare,male,age_was_missing,embarked_from_cherbourg,embarked_from_queenstown,embarked_from_southampton
102,0,1,21.0,0,1,77.2875,1,False,0,0,1
103,0,3,33.0,0,0,8.6542,1,False,0,0,1
104,0,3,37.0,2,0,7.925,1,False,0,0,1
105,0,3,28.0,0,0,7.8958,1,False,0,0,1
106,1,3,21.0,0,0,7.65,0,False,0,0,1
107,1,3,29.69911764705882,0,0,7.775,1,True,0,0,1
108,0,3,38.0,0,0,7.8958,1,False,0,0,1
109,1,3,29.69911764705882,1,0,24.15,0,True,0,1,0
110,0,1,47.0,0,0,52.0,1,False,0,0,1
111,0,3,14.5,1,0,14.4542,0,False,1,0,0
112,0,3,22.0,0,0,8.05,1,False,0,0,1
113,0,3,20.0,1,0,9.825,0,False,0,0,1
114,0,3,17.0,0,0,14.4583,0,False,1,0,0
115,0,3,21.0,0,0,7.925,1,False,0,0,1
116,0,3,70.5,0,0,7.75,1,False,0,1,0
117,0,2,29.0,1,0,21.0,1,False,0,0,1
118,0,1,24.0,0,1,247.5208,1,False,1,0,0
119,0,3,2.0,4,2,31.275,0,False,0,0,1
120,0,2,21.0,2,0,73.5,1,False,0,0,1
121,0,3,29.69911764705882,0,0,8.05,1,True,0,0,1
122,0,2,32.5,1,0,30.0708,1,False,1,0,0
123,1,2,32.5,0,0,13.0,0,False,0,0,1
124,0,1,54.0,0,1,77.2875,1,False,0,0,1
125,1,3,12.0,1,0,11.2417,1,False,1,0,0
126,0,3,29.69911764705882,0,0,7.75,1,True,0,1,0
127,1,3,24.0,0,0,7.1417,1,False,0,0,1
128,1,3,29.69911764705882,1,1,22.3583,0,True,1,0,0
129,0,3,45.0,0,0,6.975,1,False,0,0,1
130,0,3,33.0,0,0,7.8958,1,False,1,0,0
131,0,3,20.0,0,0,7.05,1,False,0,0,1
132,0,3,47.0,1,0,14.5,0,False,0,0,1
133,1,2,29.0,1,0,26.0,0,False,0,0,1
134,0,2,25.0,0,0,13.0,1,False,0,0,1
135,0,2,23.0,0,0,15.0458,1,False,1,0,0
136,1,1,19.0,0,2,26.2833,0,False,0,0,1
137,0,1,37.0,1,0,53.1,1,False,0,0,1
138,0,3,16.0,0,0,9.2167,1,False,0,0,1
139,0,1,24.0,0,0,79.2,1,False,1,0,0
140,0,3,29.69911764705882,0,2,15.2458,0,True,1,0,0
141,1,3,22.0,0,0,7.75,0,False,0,0,1
142,1,3,24.0,1,0,15.85,0,False,0,0,1
143,0,3,19.0,0,0,6.75,1,False,0,1,0
144,0,2,18.0,0,0,11.5,1,False,0,0,1
145,0,2,19.0,1,1,36.75,1,False,0,0,1
146,1,3,27.0,0,0,7.7958,1,False,0,0,1
147,0,3,9.0,2,2,34.375,0,False,0,0,1
148,0,2,36.5,0,2,26.0,1,False,0,0,1
149,0,2,42.0,0,0,13.0,1,False,0,0,1
150,0,2,51.0,0,0,12.525,1,False,0,0,1
151,1,1,22.0,1,0,66.6,0,False,0,0,1
152,0,3,55.5,0,0,8.05,1,False,0,0,1
153,0,3,40.5,0,2,14.5,1,False,0,0,1
154,0,3,29.69911764705882,0,0,7.3125,1,True,0,0,1
155,0,1,51.0,0,1,61.3792,1,False,1,0,0
156,1,3,16.0,0,0,7.7333,0,False,0,1,0
157,0,3,30.0,0,0,8.05,1,False,0,0,1
158,0,3,29.69911764705882,0,0,8.6625,1,True,0,0,1
159,0,3,29.69911764705882,8,2,69.55,1,True,0,0,1
160,0,3,44.0,0,1,16.1,1,False,0,0,1
161,1,2,40.0,0,0,15.75,0,False,0,0,1
162,0,3,26.0,0,0,7.775,1,False,0,0,1
163,0,3,17.0,0,0,8.6625,1,False,0,0,1
164,0,3,1.0,4,1,39.6875,1,False,0,0,1
165,1,3,9.0,0,2,20.525,1,False,0,0,1
166,1,1,29.69911764705882,0,1,55.0,0,True,0,0,1
167,0,3,45.0,1,4,27.9,0,False,0,0,1
168,0,1,29.69911764705882,0,0,25.925,1,True,0,0,1
169,0,3,28.0,0,0,56.4958,1,False,0,0,1
170,0,1,61.0,0,0,33.5,1,False,0,0,1
171,0,3,4.0,4,1,29.125,1,False,0,1,0
172,1,3,1.0,1,1,11.1333,0,False,0,0,1
173,0,3,21.0,0,0,7.925,1,False,0,0,1
174,0,1,56.0,0,0,30.6958,1,False,1,0,0
175,0,3,18.0,1,1,7.8542,1,False,0,0,1
176,0,3,29.69911764705882,3,1,25.4667,1,True,0,0,1
177,0,1,50.0,0,0,28.7125,0,False,1,0,0
178,0,2,30.0,0,0,13.0,1,False,0,0,1
179,0,3,36.0,0,0,0.0,1,False,0,0,1
180,0,3,29.69911764705882,8,2,69.55,0,True,0,0,1
181,0,2,29.69911764705882,0,0,15.05,1,True,1,0,0
182,0,3,9.0,4,2,31.3875,1,False,0,0,1
183,1,2,1.0,2,1,39.0,1,False,0,0,1
184,1,3,4.0,0,2,22.025,0,False,0,0,1
185,0,1,29.69911764705882,0,0,50.0,1,True,0,0,1
186,1,3,29.69911764705882,1,0,15.5,0,True,0,1,0
187,1,1,45.0,0,0,26.55,1,False,0,0,1
188,0,3,40.0,1,1,15.5,1,False,0,1,0
189,0,3,36.0,0,0,7.8958,1,False,0,0,1
190,1,2,32.0,0,0,13.0,0,False,0,0,1
191,0,2,19.0,0,0,13.0,1,False,0,0,1
192,1,3,19.0,1,0,7.8542,0,False,0,0,1
193,1,2,3.0,1,1,26.0,1,False,0,0,1
194,1,1,44.0,0,0,27.7208,0,False,1,0,0
195,1,1,58.0,0,0,146.5208,0,False,1,0,0
196,0,3,29.69911764705882,0,0,7.75,1,True,0,1,0
197,0,3,42.0,0,1,8.4042,1,False,0,0,1
198,1,3,29.69911764705882,0,0,7.75,0,True,0,1,0
199,0,2,24.0,0,0,13.0,0,False,0,0,1
200,0,3,28.0,0,0,9.5,1,False,0,0,1
201,0,3,29.69911764705882,8,2,69.55,1,True,0,0,1
202,0,3,34.0,0,0,6.4958,1,False,0,0,1
203,0,3,45.5,0,0,7.225,1,False,1,0,0
204,1,3,18.0,0,0,8.05,1,False,0,0,1
205,0,3,2.0,0,1,10.4625,0,False,0,0,1
206,0,3,32.0,1,0,15.85,1,False,0,0,1
207,1,3,26.0,0,0,18.7875,1,False,1,0,0
208,1,3,16.0,0,0,7.75,0,False,0,1,0
209,1,1,40.0,0,0,31.0,1,False,1,0,0
210,0,3,24.0,0,0,7.05,1,False,0,0,1
211,1,2,35.0,0,0,21.0,0,False,0,0,1
212,0,3,22.0,0,0,7.25,1,False,0,0,1
213,0,2,30.0,0,0,13.0,1,False,0,0,1
214,0,3,29.69911764705882,1,0,7.75,1,True,0,1,0
215,1,1,31.0,1,0,113.275,0,False,1,0,0
216,1,3,27.0,0,0,7.925,0,False,0,0,1
217,0,2,42.0,1,0,27.0,1,False,0,0,1
218,1,1,32.0,0,0,76.2917,0,False,1,0,0
219,0,2,30.0,0,0,10.5,1,False,0,0,1
220,1,3,16.0,0,0,8.05,1,False,0,0,1
221,0,2,27.0,0,0,13.0,1,False,0,0,1
222,0,3,51.0,0,0,8.05,1,False,0,0,1
223,0,3,29.69911764705882,0,0,7.8958,1,True,0,0,1
224,1,1,38.0,1,0,90.0,1,False,0,0,1
225,0,3,22.0,0,0,9.35,1,False,0,0,1
226,1,2,19.0,0,0,10.5,1,False,0,0,1
227,0,3,20.5,0,0,7.25,1,False,0,0,1
228,0,2,18.0,0,0,13.0,1,False,0,0,1
229,0,3,29.69911764705882,3,1,25.4667,0,True,0,0,1
230,1,1,35.0,1,0,83.475,0,False,0,0,1
231,0,3,29.0,0,0,7.775,1,False,0,0,1
232,0,2,59.0,0,0,13.5,1,False,0,0,1
233,1,3,5.0,4,2,31.3875,0,False,0,0,1
234,0,2,24.0,0,0,10.5,1,False,0,0,1
235,0,3,29.69911764705882,0,0,7.55,0,True,0,0,1
236,0,2,44.0,1,0,26.0,1,False,0,0,1
237,1,2,8.0,0,2,26.25,0,False,0,0,1
238,0,2,19.0,0,0,10.5,1,False,0,0,1
239,0,2,33.0,0,0,12.275,1,False,0,0,1
240,0,3,29.69911764705882,1,0,14.4542,0,True,1,0,0
241,1,3,29.69911764705882,1,0,15.5,0,True,0,1,0
242,0,2,29.0,0,0,10.5,1,False,0,0,1
243,0,3,22.0,0,0,7.125,1,False,0,0,1
244,0,3,30.0,0,0,7.225,1,False,1,0,0
245,0,1,44.0,2,0,90.0,1,False,0,1,0
246,0,3,25.0,0,0,7.775,0,False,0,0,1
247,1,2,24.0,0,2,14.5,0,False,0,0,1
248,1,1,37.0,1,1,52.5542,1,False,0,0,1
249,0,2,54.0,1,0,26.0,1,False,0,0,1
250,0,3,29.69911764705882,0,0,7.25,1,True,0,0,1
251,0,3,29.0,1,1,10.4625,0,False,0,0,1
252,0,1,62.0,0,0,26.55,1,False,0,0,1
253,0,3,30.0,1,0,16.1,1,False,0,0,1
254,0,3,41.0,0,2,20.2125,0,False,0,0,1
255,1,3,29.0,0,2,15.2458,0,False,1,0,0
256,1,1,29.69911764705882,0,0,79.2,0,True,1,0,0
257,1,1,30.0,0,0,86.5,0,False,0,0,1
258,1,1,35.0,0,0,512.3292,0,False,1,0,0
259,1,2,50.0,0,1,26.0,0,False,0,0,1
260,0,3,29.69911764705882,0,0,7.75,1,True,0,1,0
261,1,3,3.0,4,2,31.3875,1,False,0,0,1
262,0,1,52.0,1,1,79.65,1,False,0,0,1
263,0,1,40.0,0,0,0.0,1,False,0,0,1
264,0,3,29.69911764705882,0,0,7.75,0,True,0,1,0
265,0,2,36.0,0,0,10.5,1,False,0,0,1
266,0,3,16.0,4,1,39.6875,1,False,0,0,1
267,1,3,25.0,1,0,7.775,1,False,0,0,1
268,1,1,58.0,0,1,153.4625,0,False,0,0,1
269,1,1,35.0,0,0,135.6333,0,False,0,0,1
270,0,1,29.69911764705882,0,0,31.0,1,True,0,0,1
271,1,3,25.0,0,0,0.0,1,False,0,0,1
272,1,2,41.0,0,1,19.5,0,False,0,0,1
273,0,1,37.0,0,1,29.7,1,False,1,0,0
274,1,3,29.69911764705882,0,0,7.75,0,True,0,1,0
275,1,1,63.0,1,0,77.9583,0,False,0,0,1
276,0,3,45.0,0,0,7.75,0,False,0,0,1
277,0,2,29.69911764705882,0,0,0.0,1,True,0,0,1
278,0,3,7.0,4,1,29.125,1,False,0,1,0
279,1,3,35.0,1,1,20.25,0,False,0,0,1
280,0,3,65.0,0,0,7.75,1,False,0,1,0
281,0,3,28.0,0,0,7.8542,1,False,0,0,1
282,0,3,16.0,0,0,9.5,1,False,0,0,1
283,1,3,19.0,0,0,8.05,1,False,0,0,1
284,0,1,29.69911764705882,0,0,26.0,1,True,0,0,1
285,0,3,33.0,0,0,8.6625,1,False,1,0,0
286,1,3,30.0,0,0,9.5,1,False,0,0,1
287,0,3,22.0,0,0,7.8958,1,False,0,0,1
288,1,2,42.0,0,0,13.0,1,False,0,0,1
289,1,3,22.0,0,0,7.75,0,False,0,1,0
290,1,1,26.0,0,0,78.85,0,False,0,0,1
291,1,1,19.0,1,0,91.0792,0,False,1,0,0
292,0,2,36.0,0,0,12.875,1,False,1,0,0
293,0,3,24.0,0,0,8.85,0,False,0,0,1
294,0,3,24.0,0,0,7.8958,1,False,0,0,1
295,0,1,29.69911764705882,0,0,27.7208,1,True,1,0,0
296,0,3,23.5,0,0,7.2292,1,False,1,0,0
297,0,1,2.0,1,2,151.55,0,False,0,0,1
298,1,1,29.69911764705882,0,0,30.5,1,True,0,0,1
299,1,1,50.0,0,1,247.5208,0,False,1,0,0
300,1,3,29.69911764705882,0,0,7.75,0,True,0,1,0
301,1,3,29.69911764705882,2,0,23.25,1,True,0,1,0
302,0,3,19.0,0,0,0.0,1,False,0,0,1
303,1,2,29.69911764705882,0,0,12.35,0,True,0,1,0
304,0,3,29.69911764705882,0,0,8.05,1,True,0,0,1
305,1,1,0.92,1,2,151.55,1,False,0,0,1
306,1,1,29.69911764705882,0,0,110.8833,0,True,1,0,0
307,1,1,17.0,1,0,108.9,0,False,1,0,0
308,0,2,30.0,1,0,24.0,1,False,1,0,0
309,1,1,30.0,0,0,56.9292,0,False,1,0,0
310,1,1,24.0,0,0,83.1583,0,False,1,0,0
311,1,1,18.0,2,2,262.375,0,False,1,0,0
312,0,2,26.0,1,1,26.0,0,False,0,0,1
313,0,3,28.0,0,0,7.8958,1,False,0,0,1
314,0,2,43.0,1,1,26.25,1,False,0,0,1
315,1,3,26.0,0,0,7.8542,0,False,0,0,1
316,1,2,24.0,1,0,26.0,0,False,0,0,1
317,0,2,54.0,0,0,14.0,1,False,0,0,1
318,1,1,31.0,0,2,164.8667,0,False,0,0,1
319,1,1,40.0,1,1,134.5,0,False,1,0,0
320,0,3,22.0,0,0,7.25,1,False,0,0,1
321,0,3,27.0,0,0,7.8958,1,False,0,0,1
322,1,2,30.0,0,0,12.35,0,False,0,1,0
323,1,2,22.0,1,1,29.0,0,False,0,0,1
324,0,3,29.69911764705882,8,2,69.55,1,True,0,0,1
325,1,1,36.0,0,0,135.6333,0,False,1,0,0
326,0,3,61.0,0,0,6.2375,1,False,0,0,1
327,1,2,36.0,0,0,13.0,0,False,0,0,1
328,1,3,31.0,1,1,20.525,0,False,0,0,1
329,1,1,16.0,0,1,57.9792,0,False,1,0,0
330,1,3,29.69911764705882,2,0,23.25,0,True,0,1,0
331,0,1,45.5,0,0,28.5,1,False,0,0,1
332,0,1,38.0,0,1,153.4625,1,False,0,0,1
333,0,3,16.0,2,0,18.0,1,False,0,0,1
334,1,1,29.69911764705882,1,0,133.65,0,True,0,0,1
335,0,3,29.69911764705882,0,0,7.8958,1,True,0,0,1
336,0,1,29.0,1,0,66.6,1,False,0,0,1
337,1,1,41.0,0,0,134.5,0,False,1,0,0
338,1,3,45.0,0,0,8.05,1,False,0,0,1
339,0,1,45.0,0,0,35.5,1,False,0,0,1
340,1,2,2.0,1,1,26.0,1,False,0,0,1
341,1,1,24.0,3,2,263.0,0,False,0,0,1
342,0,2,28.0,0,0,13.0,1,False,0,0,1
343,0,2,25.0,0,0,13.0,1,False,0,0,1
344,0,2,36.0,0,0,13.0,1,False,0,0,1
345,1,2,24.0,0,0,13.0,0,False,0,0,1
346,1,2,40.0,0,0,13.0,0,False,0,0,1
347,1,3,29.69911764705882,1,0,16.1,0,True,0,0,1
348,1,3,3.0,1,1,15.9,1,False,0,0,1
349,0,3,42.0,0,0,8.6625,1,False,0,0,1
350,0,3,23.0,0,0,9.225,1,False,0,0,1
351,0,1,29.69911764705882,0,0,35.0,1,True,0,0,1
352,0,3,15.0,1,1,7.2292,1,False,1,0,0
353,0,3,25.0,1,0,17.8,1,False,0,0,1
354,0,3,29.69911764705882,0,0,7.225,1,True,1,0,0
355,0,3,28.0,0,0,9.5,1,False,0,0,1
356,1,1,22.0,0,1,55.0,0,False,0,0,1
357,0,2,38.0,0,0,13.0,0,False,0,0,1
358,1,3,29.69911764705882,0,0,7.8792,0,True,0,1,0
359,1,3,29.69911764705882,0,0,7.8792,0,True,0,1,0
360,0,3,40.0,1,4,27.9,1,False,0,0,1
361,0,2,29.0,1,0,27.7208,1,False,1,0,0
362,0,3,45.0,0,1,14.4542,0,False,1,0,0
363,0,3,35.0,0,0,7.05,1,False,0,0,1
364,0,3,29.69911764705882,1,0,15.5,1,True,0,1,0
365,0,3,30.0,0,0,7.25,1,False,0,0,1
366,1,1,60.0,1,0,75.25,0,False,1,0,0
367,1,3,29.69911764705882,0,0,7.2292,0,True,1,0,0
368,1,3,29.69911764705882,0,0,7.75,0,True,0,1,0
369,1,1,24.0,0,0,69.3,0,False,1,0,0
370,1,1,25.0,1,0,55.4417,1,False,1,0,0
371,0,3,18.0,1,0,6.4958,1,False,0,0,1
372,0,3,19.0,0,0,8.05,1,False,0,0,1
373,0,1,22.0,0,0,135.6333,1,False,1,0,0
374,0,3,3.0,3,1,21.075,0,False,0,0,1
375,1,1,29.69911764705882,1,0,82.1708,0,True,1,0,0
376,1,3,22.0,0,0,7.25,0,False,0,0,1
377,0,1,27.0,0,2,211.5,1,False,1,0,0
378,0,3,20.0,0,0,4.0125,1,False,1,0,0
379,0,3,19.0,0,0,7.775,1,False,0,0,1
380,1,1,42.0,0,0,227.525,0,False,1,0,0
381,1,3,1.0,0,2,15.7417,0,False,1,0,0
382,0,3,32.0,0,0,7.925,1,False,0,0,1
383,1,1,35.0,1,0,52.0,0,False,0,0,1
384,0,3,29.69911764705882,0,0,7.8958,1,True,0,0,1
385,0,2,18.0,0,0,73.5,1,False,0,0,1
386,0,3,1.0,5,2,46.9,1,False,0,0,1
387,1,2,36.0,0,0,13.0,0,False,0,0,1
388,0,3,29.69911764705882,0,0,7.7292,1,True,0,1,0
389,1,2,17.0,0,0,12.0,0,False,1,0,0
390,1,1,36.0,1,2,120.0,1,False,0,0,1
391,1,3,21.0,0,0,7.7958,1,False,0,0,1
392,0,3,28.0,2,0,7.925,1,False,0,0,1
393,1,1,23.0,1,0,113.275,0,False,1,0,0
394,1,3,24.0,0,2,16.7,0,False,0,0,1
395,0,3,22.0,0,0,7.7958,1,False,0,0,1
396,0,3,31.0,0,0,7.8542,0,False,0,0,1
397,0,2,46.0,0,0,26.0,1,False,0,0,1
398,0,2,23.0,0,0,10.5,1,False,0,0,1
399,1,2,28.0,0,0,12.65,0,False,0,0,1
400,1,3,39.0,0,0,7.925,1,False,0,0,1
401,0,3,26.0,0,0,8.05,1,False,0,0,1
402,0,3,21.0,1,0,9.825,0,False,0,0,1
403,0,3,28.0,1,0,15.85,1,False,0,0,1
404,0,3,20.0,0,0,8.6625,0,False,0,0,1
405,0,2,34.0,1,0,21.0,1,False,0,0,1
406,0,3,51.0,0,0,7.75,1,False,0,0,1
407,1,2,3.0,1,1,18.75,1,False,0,0,1
408,0,3,21.0,0,0,7.775,1,False,0,0,1
409,0,3,29.69911764705882,3,1,25.4667,0,True,0,0,1
410,0,3,29.69911764705882,0,0,7.8958,1,True,0,0,1
411,0,3,29.69911764705882,0,0,6.8583,1,True,0,1,0
412,1,1,33.0,1,0,90.0,0,False,0,1,0
413,0,2,29.69911764705882,0,0,0.0,1,True,0,0,1
414,1,3,44.0,0,0,7.925,1,False,0,0,1
415,0,3,29.69911764705882,0,0,8.05,0,True,0,0,1
416,1,2,34.0,1,1,32.5,0,False,0,0,1
417,1,2,18.0,0,2,13.0,0,False,0,0,1
418,0,2,30.0,0,0,13.0,1,False,0,0,1
419,0,3,10.0,0,2,24.15,0,False,0,0,1
420,0,3,29.69911764705882,0,0,7.8958,1,True,1,0,0
421,0,3,21.0,0,0,7.7333,1,False,0,1,0
422,0,3,29.0,0,0,7.875,1,False,0,0,1
423,0,3,28.0,1,1,14.4,0,False,0,0,1
424,0,3,18.0,1,1,20.2125,1,False,0,0,1
425,0,3,29.69911764705882,0,0,7.25,1,True,0,0,1
426,1,2,28.0,1,0,26.0,0,False,0,0,1
427,1,2,19.0,0,0,26.0,0,False,0,0,1
428,0,3,29.69911764705882,0,0,7.75,1,True,0,1,0
429,1,3,32.0,0,0,8.05,1,False,0,0,1
430,1,1,28.0,0,0,26.55,1,False,0,0,1
431,1,3,29.69911764705882,1,0,16.1,0,True,0,0,1
432,1,2,42.0,1,0,26.0,0,False,0,0,1
433,0,3,17.0,0,0,7.125,1,False,0,0,1
434,0,1,50.0,1,0,55.9,1,False,0,0,1
435,1,1,14.0,1,2,120.0,0,False,0,0,1
436,0,3,21.0,2,2,34.375,0,False,0,0,1
437,1,2,24.0,2,3,18.75,0,False,0,0,1
438,0,1,64.0,1,4,263.0,1,False,0,0,1
439,0,2,31.0,0,0,10.5,1,False,0,0,1
440,1,2,45.0,1,1,26.25,0,False,0,0,1
441,0,3,20.0,0,0,9.5,1,False,0,0,1
442,0,3,25.0,1,0,7.775,1,False,0,0,1
443,1,2,28.0,0,0,13.0,0,False,0,0,1
444,1,3,29.69911764705882,0,0,8.1125,1,True,0,0,1
445,1,1,4.0,0,2,81.8583,1,False,0,0,1
446,1,2,13.0,0,1,19.5,0,False,0,0,1
447,1,1,34.0,0,0,26.55,1,False,0,0,1
448,1,3,5.0,2,1,19.2583,0,False,1,0,0
449,1,1,52.0,0,0,30.5,1,False,0,0,1
450,0,2,36.0,1,2,27.75,1,False,0,0,1
451,0,3,29.69911764705882,1,0,19.9667,1,True,0,0,1
452,0,1,30.0,0,0,27.75,1,False,1,0,0
453,1,1,49.0,1,0,89.1042,1,False,1,0,0
454,0,3,29.69911764705882,0,0,8.05,1,True,0,0,1
455,1,3,29.0,0,0,7.8958,1,False,1,0,0
456,0,1,65.0,0,0,26.55,1,False,0,0,1
457,1,1,29.69911764705882,1,0,51.8625,0,True,0,0,1
458,1,2,50.0,0,0,10.5,0,False,0,0,1
459,0,3,29.69911764705882,0,0,7.75,1,True,0,1,0
460,1,1,48.0,0,0,26.55,1,False,0,0,1
461,0,3,34.0,0,0,8.05,1,False,0,0,1
462,0,1,47.0,0,0,38.5,1,False,0,0,1
463,0,2,48.0,0,0,13.0,1,False,0,0,1
464,0,3,29.69911764705882,0,0,8.05,1,True,0,0,1
465,0,3,38.0,0,0,7.05,1,False,0,0,1
466,0,2,29.69911764705882,0,0,0.0,1,True,0,0,1
467,0,1,56.0,0,0,26.55,1,False,0,0,1
468,0,3,29.69911764705882,0,0,7.725,1,True,0,1,0
469,1,3,0.75,2,1,19.2583,0,False,1,0,0
470,0,3,29.69911764705882,0,0,7.25,1,True,0,0,1
471,0,3,38.0,0,0,8.6625,1,False,0,0,1
472,1,2,33.0,1,2,27.75,0,False,0,0,1
473,1,2,23.0,0,0,13.7917,0,False,1,0,0
474,0,3,22.0,0,0,9.8375,0,False,0,0,1
475,0,1,29.69911764705882,0,0,52.0,1,True,0,0,1
