Country,fertility,life,population,child_mortality,gdp,region
Latvia,1.5530000000000002,71.836,2252060.0,9.4,18148.0,Europe & Central Asia
Lebanon,1.513,79.11,4227597.0,10.1,16263.0,Middle East & North Africa
Lesotho,3.207,47.584,2171318.0,101.5,2235.0,Sub-Saharan Africa
Liberia,5.024,59.459,3994122.0,89.3,689.0,Sub-Saharan Africa
Libya,2.525,74.732,6355112.0,16.6,30261.0,Middle East & North Africa
Lithuania,1.4680000000000002,71.631,3323611.0,6.8,20758.0,Europe & Central Asia
Luxembourg,1.64,80.00399999999998,507448.0,2.4,91147.0,Europe & Central Asia
"Macao, China",1.003,79.75399999999998,543656.0,6.14,98722.0,East Asia & Pacific
"Macedonia, FYR",1.452,74.73100000000002,2060563.0,9.9,11179.0,Europe & Central Asia
Madagascar,4.654,63.38,20713819.0,60.3,1390.0,Sub-Saharan Africa
Malawi,5.636,53.536,14900841.0,92.0,737.0,Sub-Saharan Africa
Malaysia,2.002,74.479,28401017.0,8.3,20398.0,East Asia & Pacific
Maldives,2.339,76.779,315885.0,13.0,11674.0,South Asia
Mali,6.841,53.788,15369809.0,136.6,1664.0,Sub-Saharan Africa
Malta,1.3730000000000002,79.225,416515.0,6.4,27906.0,Europe & Central Asia
Martinique,1.87,80.71,405814.0,8.17,,America
Mauritania,4.837,61.06399999999999,3459773.0,97.8,3299.0,Sub-Saharan Africa
Mauritius,1.521,73.142,1299172.0,15.2,15599.0,Sub-Saharan Africa
Mayotte,4.082,78.51899999999998,204114.0,5.56,,Sub-Saharan Africa
Mexico,2.281,76.836,113423047.0,16.8,15460.0,America
"Micronesia, Fed. Sts.",3.46,68.654,111064.0,40.7,3337.0,East Asia & Pacific
Moldova,1.477,68.541,3572885.0,17.1,3925.0,Europe & Central Asia
Mongolia,2.437,66.825,2756001.0,30.0,7708.0,East Asia & Pacific
Montenegro,1.6980000000000002,74.48899999999998,631490.0,6.8,13656.0,Europe & Central Asia
Morocco,2.583,70.24600000000001,31951412.0,33.1,6466.0,Middle East & North Africa
Mozambique,5.409,49.20399999999999,23390765.0,103.8,930.0,Sub-Saharan Africa
Myanmar,2.003,64.658,47963012.0,59.3,3077.0,East Asia & Pacific
Namibia,3.229,62.594,2283289.0,55.4,8433.0,Sub-Saharan Africa
Nepal,2.619,67.113,29959364.0,45.4,1999.0,South Asia
Netherlands,1.796,80.62100000000002,16612988.0,4.4,45843.0,Europe & Central Asia
Netherlands Antilles,1.94,76.518,200689.0,,,America
New Caledonia,2.193,75.67399999999998,250870.0,16.32,,East Asia & Pacific
New Zealand,2.115,80.67,4368136.0,6.2,31824.0,East Asia & Pacific
Nicaragua,2.631,73.84,5788163.0,26.1,3966.0,America
Niger,7.584,56.956,15511953.0,123.6,841.0,Sub-Saharan Africa
Nigeria,6.022,51.297,158423182.0,130.3,5114.0,Sub-Saharan Africa
Norway,1.95,81.064,4883111.0,3.2,62946.0,Europe & Central Asia
Oman,2.901,75.721,2782435.0,11.7,49188.0,Middle East & North Africa
Pakistan,3.43,66.11,173593383.0,91.8,4220.0,South Asia
Panama,2.549,76.916,3516820.0,19.8,14921.0,America
Papua New Guinea,3.954,61.994,6858266.0,66.1,2163.0,East Asia & Pacific
Paraguay,2.968,72.016,6454548.0,24.1,7008.0,America
Peru,2.511,73.91199999999998,29076512.0,21.0,9915.0,America
Philippines,3.151,68.207,93260798.0,31.9,5614.0,East Asia & Pacific
Poland,1.372,75.902,38276660.0,5.8,21328.0,Europe & Central Asia
Portugal,1.3330000000000002,79.291,10675572.0,3.9,27393.0,Europe & Central Asia
Puerto Rico,1.664,78.32600000000002,3749009.0,8.18,34454.0,America
Qatar,2.085,77.959,1758793.0,9.0,127984.0,Middle East & North Africa
Reunion,2.327,78.87899999999998,846068.0,5.56,,Sub-Saharan Africa
Romania,1.372,73.476,21486371.0,13.9,16888.0,Europe & Central Asia
Russia,1.569,67.622,142958164.0,12.0,21664.0,Europe & Central Asia
Rwanda,4.841,62.276,10624005.0,64.2,1262.0,Sub-Saharan Africa
Saint Lucia,1.982,74.425,174267.0,,,America
Saint Vincent and the Grenadines,2.07,72.17399999999998,109333.0,,,America
Samoa,4.338,72.283,183081.0,18.7,5405.0,East Asia & Pacific
Sao Tome and Principe,4.287,65.93,165397.0,56.4,2743.0,Sub-Saharan Africa
Saudi Arabia,2.829,74.832,27448086.0,17.0,45598.0,Middle East & North Africa
Senegal,5.05,62.934,12433728.0,64.8,2182.0,Sub-Saharan Africa
Serbia,1.38,73.676,9856222.0,7.6,12301.0,Europe & Central Asia
Seychelles,2.257,72.72399999999998,86518.0,14.2,20364.0,Sub-Saharan Africa
Sierra Leone,4.9430000000000005,44.846,5867536.0,160.2,1347.0,Sub-Saharan Africa
Singapore,1.261,81.788,5086418.0,2.8,72056.0,East Asia & Pacific
Slovak Republic,1.35,75.02,5462119.0,8.1,24438.0,Europe & Central Asia
Slovenia,1.4780000000000002,79.125,2029680.0,3.3,28377.0,Europe & Central Asia
Solomon Islands,4.2360000000000015,67.027,538148.0,32.1,1787.0,East Asia & Pacific
Somalia,6.869,53.0,9330872.0,160.2,614.0,Sub-Saharan Africa
South Africa,2.467,54.547,50132817.0,54.4,12087.0,Sub-Saharan Africa
South Sudan,5.194,53.488,9415421.0,110.9,3838.0,Sub-Saharan Africa
Spain,1.457,81.656,46076989.0,4.6,32994.0,Europe & Central Asia
Sri Lanka,2.343,73.79,20859949.0,10.6,7572.0,South Asia
Sudan,4.637,61.49,34136520.0,80.2,3282.0,Sub-Saharan Africa
Suriname,2.345,70.309,524636.0,24.9,14325.0,America
Swaziland,3.559,48.398,1186056.0,90.9,5862.0,Sub-Saharan Africa
Sweden,1.987,81.426,9379687.0,3.1,42898.0,Europe & Central Asia
Switzerland,1.5,82.19200000000002,7664318.0,4.5,54183.0,Europe & Central Asia
Syria,3.0780000000000003,74.693,20410606.0,15.3,6603.0,Middle East & North Africa
Taiwan,0.895,79.15,23025000.0,,39085.0,East Asia & Pacific
Tajikistan,3.78,66.83,6878637.0,52.6,2110.0,Europe & Central Asia
Tanzania,5.428,59.224,44841226.0,62.3,2143.0,Sub-Saharan Africa
Thailand,1.443,73.852,69122234.0,14.5,12822.0,East Asia & Pacific
Timor-Leste,6.237,65.952,1124355.0,63.8,1777.0,East Asia & Pacific
Togo,4.792,55.514,6027798.0,90.9,1246.0,Sub-Saharan Africa
Tonga,3.914,72.209,104058.0,17.4,4945.0,East Asia & Pacific
Trinidad and Tobago,1.802,69.55,1341465.0,23.6,29321.0,America
Tunisia,2.044,75.14699999999998,10480934.0,17.4,10411.0,Middle East & North Africa
Turkey,2.101,74.274,72752325.0,19.1,16674.0,Europe & Central Asia
Turkmenistan,2.412,65.0,5041995.0,60.1,10032.0,Europe & Central Asia
Uganda,6.155,57.319,33424683.0,79.5,1515.0,Sub-Saharan Africa
Ukraine,1.435,68.188,45448329.0,11.8,7844.0,Europe & Central Asia
United Arab Emirates,1.868,76.325,7511690.0,8.5,56644.0,Middle East & North Africa
United Kingdom,1.899,80.085,62035570.0,5.2,36240.0,Europe & Central Asia
United States,1.928,78.507,310383948.0,7.4,49373.0,America
Uruguay,2.08,76.78699999999998,3368786.0,12.3,17095.0,America
Uzbekistan,2.41,67.87100000000001,27444702.0,46.1,4185.0,Europe & Central Asia
Vanuatu,3.499,70.76100000000002,239651.0,28.5,2948.0,East Asia & Pacific
Venezuela,2.472,74.15899999999998,28979857.0,16.6,16536.0,America
Vietnam,1.82,75.49,87848445.0,24.8,4486.0,East Asia & Pacific
Virgin Islands (U.S.),2.4930000000000003,79.46300000000002,109056.0,11.62,,America
West Bank and Gaza,4.216,72.64,4039192.0,23.8,4163.0,Middle East & North Africa
Western Sahara,2.471,66.844,530500.0,50.71,,Middle East & North Africa
"Yemen, Rep.",4.498,62.536,24052514.0,,,Middle East & North Africa
Zambia,5.813,54.549,13088570.0,84.8,3451.0,Sub-Saharan Africa
Zimbabwe,3.721,53.684,12571454.0,95.1,1484.0,Sub-Saharan Africa
