total_bill,tip,sex,smoker,day,time,size
38.73,,Male,Yes,Sat,Dinner,4.0
24.27,2.03,Male,Yes,Sat,Dinner,2.0
12.76,2.23,Female,Yes,Sat,Dinner,2.0
,2.0,Male,Yes,Sat,Dinner,3.0
25.89,5.16,,Yes,Sat,Dinner,4.0
48.33,9.0,Male,No,Sat,Dinner,4.0
13.27,2.5,Female,Yes,Sat,Dinner,2.0
28.17,6.5,Female,Yes,Sat,Dinner,3.0
12.9,1.1,Female,Yes,Sat,Dinner,2.0
28.15,3.0,Male,Yes,Sat,Dinner,5.0
11.59,1.5,Male,Yes,Sat,Dinner,2.0
7.74,1.44,Male,Yes,Sat,Dinner,2.0
,3.09,Female,Yes,Sat,Dinner,4.0
12.16,,Male,Yes,Fri,Lunch,2.0
13.42,3.48,Female,Yes,Fri,,2.0
8.58,1.92,Male,Yes,Fri,Lunch,1.0
15.98,3.0,Female,No,,Lunch,3.0
13.42,1.58,Male,Yes,Fri,,2.0
16.27,2.5,Female,Yes,Fri,Lunch,2.0
10.09,2.0,Female,Yes,Fri,,2.0
20.45,3.0,Male,No,Sat,Dinner,
13.28,2.72,Male,No,Sat,Dinner,2.0
22.12,2.88,Female,Yes,Sat,Dinner,2.0
24.01,2.0,Male,Yes,Sat,Dinner,4.0
,,,Yes,Sat,Dinner,3.0
11.61,3.39,Male,No,Sat,Dinner,2.0
10.77,1.47,,No,Sat,Dinner,2.0
,3.0,Male,Yes,Sat,Dinner,2.0
10.07,1.25,Male,No,Sat,Dinner,
12.6,1.0,Male,Yes,Sat,Dinner,2.0
32.83,1.17,Male,Yes,Sat,Dinner,2.0
35.83,4.67,Female,No,Sat,Dinner,3.0
29.03,,Male,No,Sat,Dinner,3.0
27.18,2.0,Female,Yes,Sat,,2.0
22.67,2.0,Male,Yes,Sat,Dinner,2.0
17.82,1.75,Male,No,Sat,Dinner,2.0
18.78,3.0,Female,No,Thur,Dinner,2.0
