,Salary,CareerSatisfaction,HoursPerWeek,JobSatisfaction,StackOverflowSatisfaction
209,54545.4545454545,10.0,1.0,8.0,10.0
210,,,0.0,,10.0
211,1481.4814814814802,10.0,,10.0,9.0
212,32258.064516128998,5.0,,6.0,5.0
213,,,,,10.0
214,51612.903225806396,5.0,,3.0,10.0
215,4404.63955366319,8.0,0.0,7.0,10.0
216,50000.0,10.0,,10.0,6.0
217,,8.0,,8.0,
218,,8.0,,8.0,10.0
219,50000.0,4.0,2.0,1.0,
220,185000.0,10.0,,10.0,10.0
221,,9.0,,9.0,10.0
222,,7.0,,8.0,9.0
223,160000.0,7.0,0.0,8.0,7.0
224,102000.0,10.0,,10.0,10.0
225,,9.0,,10.0,9.0
226,,7.0,,7.0,
227,,8.0,,8.0,
228,,,,,8.0
229,23703.7037037037,10.0,0.0,10.0,10.0
230,,7.0,0.0,7.0,7.0
231,,7.0,,5.0,
232,58064.5161290323,7.0,5.0,8.0,8.0
233,,4.0,,6.0,
234,63000.0,8.0,1.0,7.0,9.0
235,67000.0,8.0,,10.0,9.0
236,,7.0,,7.0,
237,80000.0,8.0,,8.0,8.0
238,103000.0,8.0,,8.0,10.0
239,,7.0,0.0,7.0,
240,,5.0,,5.0,
241,81000.0,10.0,,10.0,8.0
242,,7.0,0.0,,9.0
243,,9.0,,8.0,
244,,,,,
245,,8.0,,8.0,
246,,7.0,,8.0,9.0
247,2150.5376344086,6.0,2.0,6.0,8.0
248,,9.0,,7.0,
249,65000.0,8.0,,8.0,8.0
250,,5.0,1.0,5.0,10.0
251,,,,,
252,,9.0,1.0,7.0,9.0
253,,9.0,,8.0,7.0
254,,4.0,3.0,5.0,6.0
255,,8.0,,8.0,10.0
256,,8.0,,9.0,9.0
257,,7.0,,6.0,8.0
258,65000.0,7.0,1.0,5.0,8.0
259,,,,,
260,63750.0,5.0,1.0,5.0,5.0
261,,6.0,,7.0,
262,,8.0,1.0,7.0,
263,,7.0,40.0,5.0,
264,59000.0,8.0,4.0,5.0,9.0
265,,8.0,,8.0,8.0
266,,3.0,4.0,,8.0
267,115000.0,6.0,10.0,6.0,8.0
268,,5.0,,5.0,
269,,10.0,,7.0,
270,,8.0,,8.0,
271,,,0.0,,7.0
272,,8.0,,8.0,7.0
273,37634.4086021505,7.0,,6.0,10.0
274,170000.0,3.0,4.0,2.0,9.0
275,81060.60606060611,8.0,,8.0,7.0
276,,10.0,,10.0,8.0
277,,8.0,,,
278,,,,,8.0
279,,4.0,,1.0,7.0
280,,9.0,3.0,7.0,7.0
281,77500.0,6.0,,7.0,8.0
282,78452.0,9.0,0.0,5.0,10.0
283,,7.0,,7.0,9.0
284,14682.131845544,7.0,40.0,6.0,7.0
285,,7.0,0.0,6.0,10.0
286,,4.0,0.0,8.0,9.0
287,,8.0,2.0,8.0,8.0
288,,7.0,4.0,7.0,9.0
289,,,,,10.0
290,,10.0,,10.0,10.0
291,170000.0,7.0,,5.0,7.0
292,,,1.0,,8.0
293,,8.0,,8.0,
294,,,2.0,,10.0
295,,9.0,0.0,9.0,9.0
296,,,,,10.0
297,,8.0,,,7.0
298,,10.0,,5.0,
299,,8.0,,8.0,9.0
300,,8.0,,9.0,8.0
301,,8.0,,9.0,
302,,,,,
303,,10.0,0.0,8.0,10.0
304,,10.0,,6.0,10.0
305,,9.0,,8.0,8.0
306,,9.0,,8.0,10.0
307,,,1.0,,8.0
308,53300.0,10.0,1.0,8.0,10.0
309,,6.0,21.0,,8.0
310,,10.0,,10.0,9.0
311,,6.0,,7.0,
312,,5.0,,,2.0
313,,7.0,1.0,6.0,8.0
314,47419.354838709696,9.0,,10.0,7.0
315,97000.0,5.0,2.0,1.0,10.0
316,31548.7571701721,8.0,0.0,8.0,8.0
317,,9.0,0.0,8.0,10.0
318,,,1.0,,9.0
319,,6.0,,8.0,
320,42727.2727272727,6.0,0.0,8.0,10.0
321,,6.0,,4.0,
322,1111.31691053899,9.0,,5.0,7.0
323,19892.4731182796,10.0,2.0,3.0,10.0
324,120000.0,10.0,,10.0,10.0
325,,4.0,,,
326,21888.053467000802,8.0,1.0,6.0,7.0
327,,8.0,1.0,8.0,7.0
328,59139.7849462366,7.0,,8.0,8.0
329,62500.0,7.0,3.0,5.0,7.0
330,,10.0,1.0,9.0,10.0
331,600.0,7.0,4.0,7.0,8.0
332,,8.0,,8.0,
333,,9.0,2.0,9.0,9.0
334,,4.0,,6.0,8.0
335,75000.0,9.0,,8.0,8.0
336,,4.0,5.0,4.0,8.0
337,,8.0,,9.0,
338,,10.0,,10.0,10.0
339,,7.0,,7.0,
340,53763.440860215094,7.0,,9.0,7.0
341,,,,,7.0
342,,9.0,,9.0,8.0
343,,,8.0,,10.0
344,,,,,9.0
345,66666.6666666667,7.0,,6.0,8.0
346,,8.0,1.0,5.0,
347,110000.0,7.0,,6.0,8.0
348,38173.5427984143,7.0,,5.0,
349,85000.0,9.0,,8.0,9.0
350,,6.0,,5.0,9.0
351,,7.0,,,8.0
352,45822.10242587599,9.0,,8.0,10.0
353,,7.0,,8.0,
354,,,0.0,,
355,,7.0,,7.0,8.0
356,,9.0,1.0,9.0,
357,,10.0,2.0,8.0,7.0
358,,10.0,,10.0,
359,,5.0,4.0,5.0,7.0
360,38484.8484848485,6.0,,4.0,8.0
361,,7.0,,7.0,
362,,7.0,1.0,6.0,8.0
363,,9.0,,9.0,10.0
364,165000.0,9.0,,8.0,10.0
365,,8.0,1.0,8.0,8.0
366,100000.0,7.0,,7.0,8.0
367,,5.0,,8.0,
368,,9.0,,8.0,
369,,5.0,0.0,5.0,9.0
370,,10.0,5.0,4.0,9.0
371,61000.0,7.0,0.0,8.0,9.0
372,,6.0,,,5.0
373,150000.0,8.0,5.0,5.0,9.0
374,82000.0,8.0,2.0,7.0,6.0
375,,,,,
376,,6.0,30.0,,8.0
377,43010.752688172004,7.0,0.0,7.0,
378,85000.0,7.0,,4.0,8.0
379,,6.0,1.0,6.0,
380,,7.0,3.0,7.0,9.0
381,,0.0,3.0,,9.0
382,,9.0,,6.0,
383,,10.0,,10.0,
384,43750.0,4.0,,3.0,
385,,7.0,,6.0,8.0
386,47311.8279569892,8.0,,8.0,10.0
387,110000.0,8.0,,7.0,7.0
388,,7.0,,5.0,10.0
389,,7.0,,7.0,
390,,10.0,,10.0,10.0
391,,8.0,0.0,7.0,10.0
392,,,,,
393,,7.0,,7.0,
394,,10.0,,7.0,8.0
395,,8.0,,8.0,9.0
396,,7.0,0.0,7.0,7.0
397,63500.0,8.0,,6.0,9.0
398,47511.3122171946,8.0,0.0,8.0,9.0
399,32484.076433121,8.0,0.0,7.0,10.0
400,88000.0,2.0,2.0,2.0,8.0
401,,9.0,1.0,8.0,9.0
402,67096.7741935484,9.0,2.0,1.0,8.0
403,,,,,
404,,,,,
405,,5.0,,4.0,10.0
406,120000.0,9.0,,10.0,7.0
407,,8.0,,8.0,8.0
408,25062.656641604,7.0,,7.0,9.0
409,,,3.0,,
410,,7.0,1.0,5.0,
411,,,,,
412,15286.624203821699,6.0,,5.0,9.0
413,,5.0,,7.0,
414,,3.0,1.0,,8.0
415,,1.0,2.0,,
416,,,,,
417,,,,,10.0
418,40000.0,7.0,,6.0,9.0
419,,7.0,,8.0,9.0
420,,2.0,10.0,3.0,9.0
421,,,,,
422,,6.0,,9.0,9.0
423,,6.0,,3.0,
424,,9.0,,5.0,
425,150000.0,8.0,,8.0,9.0
426,,10.0,,8.0,9.0
427,8602.150537634408,8.0,,7.0,
428,,8.0,,,8.0
429,137500.0,8.0,,7.0,8.0
430,50000.0,5.0,5.0,3.0,8.0
431,160000.0,10.0,,6.0,10.0
432,,,0.0,,7.0
433,90000.0,8.0,0.0,5.0,10.0
434,,,1.0,,7.0
435,,,4.0,,10.0
436,46969.696969697005,5.0,1.0,7.0,9.0
437,37579.6178343949,8.0,2.0,7.0,8.0
438,,7.0,,9.0,9.0
439,,9.0,,8.0,7.0
440,,,,,8.0
441,,4.0,19.0,,6.0
442,,9.0,,6.0,
443,,8.0,,7.0,9.0
444,62365.5913978495,6.0,,3.0,8.0
445,,7.0,2.0,6.0,8.0
446,5652.62076053443,7.0,6.0,4.0,10.0
447,62500.0,7.0,,7.0,10.0
448,25806.451612903198,8.0,,6.0,8.0
449,,8.0,0.0,6.0,9.0
450,110000.0,7.0,0.0,4.0,9.0
451,82000.0,10.0,,9.0,5.0
452,23484.848484848502,10.0,,10.0,
453,,,1.0,,8.0
454,7752.165614447221,10.0,,10.0,10.0
455,,5.0,,5.0,
456,,8.0,,9.0,
457,104000.0,6.0,2.0,6.0,7.0
458,,10.0,,10.0,9.0
459,25477.7070063694,10.0,,9.0,
460,,10.0,,10.0,8.0
461,,8.0,,9.0,9.0
462,,9.0,,9.0,
463,,9.0,,8.0,8.0
464,,10.0,,10.0,
465,,,2.0,,
466,38709.6774193548,9.0,,9.0,9.0
467,,8.0,,9.0,8.0
468,4242.0814479638,8.0,,7.0,7.0
469,37878.7878787879,8.0,,8.0,8.0
470,,,,,9.0
471,52500.0,7.0,,5.0,8.0
472,100501.0,0.0,2.0,5.0,5.0
473,,8.0,,8.0,
474,,6.0,,5.0,9.0
475,93000.0,5.0,,3.0,8.0
476,90000.0,4.0,,3.0,8.0
477,,,,,9.0
478,,4.0,,2.0,
479,47511.3122171946,8.0,0.0,7.0,8.0
480,,6.0,0.0,7.0,
481,,8.0,,8.0,7.0
482,,7.0,,8.0,3.0
483,,9.0,,8.0,
484,,6.0,,6.0,10.0
485,,,,,
486,,7.0,,,
487,,6.0,,8.0,
488,,8.0,0.0,8.0,8.0
489,,10.0,1.0,10.0,8.0
490,53030.303030302995,5.0,0.0,7.0,10.0
491,99478.78787878789,7.0,,3.0,6.0
492,,9.0,,8.0,8.0
493,,8.0,20.0,8.0,10.0
494,,7.0,,8.0,8.0
495,,4.0,1.0,6.0,7.0
496,,,0.0,,8.0
497,,0.0,5.0,,10.0
498,,7.0,,7.0,
499,75000.0,8.0,,8.0,8.0
500,,,3.0,,10.0
501,95000.0,7.0,,7.0,9.0
502,,8.0,5.0,6.0,9.0
503,,7.0,0.0,3.0,10.0
504,73200.0,8.0,2.0,6.0,7.0
505,,6.0,,,8.0
506,,5.0,0.0,,6.0
507,11961.7224880383,10.0,,7.0,9.0
508,,8.0,0.0,8.0,9.0
509,,7.0,2.0,,7.0
510,140000.0,7.0,,9.0,10.0
511,,,,,10.0
512,130000.0,,,,7.0
513,,10.0,,10.0,
514,59139.7849462366,8.0,1.0,8.0,9.0
515,,10.0,,10.0,10.0
516,,9.0,1.0,8.0,9.0
517,86000.0,8.0,,8.0,8.0
518,11745.7054764352,8.0,,5.0,6.0
519,,,,,
520,20493.827160493798,8.0,,9.0,10.0
521,,9.0,0.0,6.0,10.0
522,15037.5939849624,10.0,,8.0,10.0
523,,6.0,,4.0,
524,,,,,10.0
525,90000.0,7.0,,8.0,7.0
526,,2.0,40.0,1.0,
527,,6.0,,6.0,
528,,10.0,2.0,10.0,9.0
529,,6.0,,6.0,8.0
530,160000.0,8.0,,3.0,9.0
531,,7.0,0.0,7.0,9.0
532,,8.0,,,8.0
533,32000.0,7.0,1.0,6.0,10.0
534,35483.8709677419,9.0,,9.0,9.0
535,,8.0,0.0,7.0,9.0
536,13375.796178343899,7.0,,9.0,8.0
537,,,,,
538,,8.0,,8.0,
539,,5.0,2.0,7.0,8.0
540,,9.0,,6.0,
541,,8.0,12.0,,9.0
542,,4.0,5.0,,
543,,,,,
544,,,,,
545,,7.0,,8.0,8.0
546,32258.064516128998,3.0,1.0,2.0,8.0
547,,10.0,,10.0,
548,,8.0,,5.0,8.0
549,,8.0,,9.0,
550,,5.0,,2.0,
551,,8.0,,8.0,
552,,5.0,,4.0,7.0
553,67873.3031674208,6.0,,8.0,
554,,9.0,,,9.0
555,,8.0,,8.0,
556,,5.0,,3.0,
557,,7.0,0.0,7.0,7.0
558,,10.0,1.0,3.0,10.0
559,,,,,
560,,3.0,,1.0,8.0
561,,10.0,,10.0,7.0
562,60000.0,5.0,0.0,4.0,9.0
563,,10.0,,10.0,10.0
564,,10.0,,10.0,9.0
565,26881.7204301075,8.0,,7.0,9.0
566,,,,,
567,106400.0,6.0,,5.0,9.0
568,,9.0,1.0,7.0,8.0
569,,8.0,,8.0,
570,,5.0,,,9.0
571,,10.0,,10.0,8.0
572,,7.0,0.0,7.0,8.0
573,,2.0,,1.0,
574,,8.0,,8.0,10.0
575,,8.0,1.0,6.0,10.0
576,74663.0727762803,8.0,1.0,6.0,9.0
577,,8.0,1.0,6.0,10.0
578,,7.0,2.0,7.0,9.0
579,,9.0,0.0,9.0,7.0
580,,10.0,,9.0,9.0
581,9396.56438114814,8.0,7.0,7.0,10.0
582,135000.0,9.0,,9.0,8.0
583,,4.0,,4.0,
584,,8.0,,8.0,8.0
585,,9.0,,,8.0
586,140000.0,9.0,,10.0,10.0
587,,6.0,7.0,,8.0
588,,7.0,,5.0,
589,47500.0,7.0,1.0,6.0,9.0
590,77000.0,4.0,0.0,5.0,8.0
591,,8.0,,8.0,7.0
592,,7.0,,7.0,8.0
593,,,3.0,,9.0
594,,8.0,,7.0,9.0
595,,9.0,,9.0,8.0
596,,8.0,,9.0,
597,,10.0,,10.0,10.0
598,,7.0,,4.0,9.0
599,,7.0,,8.0,10.0
600,,0.0,,0.0,10.0
601,,10.0,,9.0,
602,,4.0,,4.0,
603,,9.0,,10.0,9.0
604,,5.0,,5.0,8.0
605,77419.3548387097,8.0,0.0,9.0,8.0
606,,8.0,1.0,7.0,8.0
607,,9.0,,8.0,
608,,10.0,1.0,8.0,10.0
609,105000.0,9.0,8.0,7.0,8.0
610,,,,,8.0
611,62000.0,8.0,1.0,5.0,10.0
612,,7.0,,7.0,6.0
613,39784.9462365591,8.0,0.0,8.0,8.0
614,150000.0,9.0,1.0,7.0,8.0
615,,8.0,,10.0,
616,,3.0,0.0,4.0,9.0
617,46969.696969697005,9.0,,8.0,10.0
618,,9.0,,7.0,8.0
619,,,,,
620,,3.0,,1.0,
621,,10.0,,10.0,10.0
622,,9.0,,9.0,
623,,8.0,1.0,7.0,10.0
624,,8.0,,8.0,7.0
625,129000.0,9.0,,8.0,9.0
626,84000.0,9.0,0.0,10.0,7.0
627,,9.0,,8.0,10.0
628,65000.0,9.0,2.0,7.0,10.0
629,,10.0,6.0,7.0,
630,,6.0,,8.0,
631,,5.0,,5.0,
632,115000.0,9.0,,9.0,
633,,3.0,,6.0,10.0
634,40909.0909090909,8.0,,8.0,7.0
635,,,,,7.0
636,,8.0,2.0,8.0,
637,,8.0,,7.0,
638,,,,,
639,,7.0,,6.0,
640,,8.0,,9.0,
641,,8.0,,8.0,7.0
642,,10.0,,,
643,125000.0,9.0,0.0,9.0,10.0
644,,7.0,1.0,5.0,
645,2000.0,3.0,2.0,4.0,9.0
646,95000.0,9.0,0.0,5.0,7.0
647,,8.0,,10.0,7.0
648,88000.0,8.0,1.0,8.0,10.0
649,,,,,7.0
650,,7.0,5.0,7.0,8.0
651,,7.0,,7.0,9.0
652,,7.0,20.0,6.0,
653,,9.0,,9.0,10.0
654,,,,,
655,86858.33405715281,7.0,,7.0,6.0
656,,10.0,,10.0,10.0
657,,5.0,1.0,7.0,7.0
658,,8.0,1.0,9.0,10.0
659,,7.0,,7.0,
660,,7.0,,5.0,
661,,4.0,40.0,4.0,
662,,10.0,,3.0,
663,,4.0,0.0,3.0,8.0
664,,8.0,2.0,7.0,8.0
665,,8.0,,8.0,
666,,6.0,5.0,4.0,10.0
667,,8.0,0.0,7.0,
668,117250.0,8.0,4.0,3.0,8.0
669,,5.0,,5.0,10.0
670,,7.0,2.0,9.0,10.0
671,,,,,
672,,9.0,,9.0,
673,155000.0,7.0,,7.0,7.0
674,,8.0,,8.0,8.0
675,,8.0,,10.0,
676,,10.0,,8.0,
677,,6.0,,9.0,
678,63636.3636363636,5.0,,7.0,8.0
679,,10.0,,9.0,
680,,7.0,,7.0,10.0
681,23225.8064516129,7.0,,8.0,7.0
682,95000.0,5.0,5.0,3.0,8.0
683,,,,,
684,,,,,9.0
685,,9.0,,8.0,8.0
686,3456.7901234567894,8.0,0.0,7.0,9.0
687,,7.0,1.0,6.0,9.0
688,110000.0,10.0,2.0,6.0,8.0
689,85000.0,8.0,0.0,5.0,9.0
690,62000.0,8.0,,9.0,9.0
691,43010.752688172004,7.0,,8.0,7.0
692,8881.52866242038,8.0,,8.0,
693,,7.0,,7.0,6.0
694,160000.0,7.0,,5.0,8.0
695,,10.0,,10.0,
696,,8.0,,8.0,8.0
697,119658.11965812,9.0,6.0,3.0,10.0
698,,10.0,,10.0,
699,,5.0,2.0,6.0,
700,,6.0,,6.0,
701,93000.0,8.0,,8.0,9.0
702,,,0.0,,8.0
703,95000.0,7.0,2.0,8.0,9.0
704,1050.95541401274,8.0,1.0,7.0,9.0
705,,7.0,,7.0,
706,,6.0,5.0,4.0,10.0
707,82000.0,9.0,,9.0,6.0
708,,,,,7.0
709,,7.0,,7.0,
710,,9.0,0.0,8.0,9.0
711,,8.0,,7.0,9.0
712,135000.0,8.0,,9.0,10.0
713,,8.0,2.0,,8.0
714,,6.0,,8.0,8.0
715,41401.273885350296,7.0,,7.0,7.0
716,,,,,
717,49242.4242424242,8.0,,8.0,10.0
718,,,,,10.0
719,23655.9139784946,6.0,0.0,6.0,10.0
720,,7.0,,6.0,
721,,,,,7.0
722,100000.0,8.0,,8.0,10.0
723,,7.0,,7.0,10.0
724,107000.0,7.0,,6.0,10.0
725,,7.0,,8.0,8.0
726,,,40.0,,
727,2114.22698575833,9.0,5.0,5.0,10.0
728,,8.0,,7.0,8.0
729,,8.0,,7.0,
730,35483.8709677419,9.0,1.0,6.0,9.0
731,,10.0,,8.0,8.0
732,13219.834710743798,8.0,0.0,8.0,9.0
733,,9.0,1.0,9.0,7.0
734,11011.598884158,8.0,6.0,6.0,8.0
735,,8.0,,7.0,7.0
736,,8.0,2.0,9.0,9.0
737,134770.889487871,6.0,,4.0,8.0
738,,8.0,,9.0,8.0
739,,3.0,,6.0,
740,,,1.0,,8.0
741,,6.0,,6.0,
742,38216.5605095541,6.0,,6.0,8.0
743,116000.0,9.0,,9.0,10.0
744,,7.0,1.0,6.0,7.0
745,37634.4086021505,7.0,,6.0,7.0
746,,10.0,,,
747,,9.0,,9.0,
748,49677.419354838705,5.0,5.0,7.0,10.0
749,,,1.0,,9.0
750,72000.0,7.0,0.0,7.0,8.0
751,,7.0,,7.0,
752,,,0.0,,
753,,9.0,,9.0,9.0
754,,0.0,,,
755,,7.0,1.0,7.0,9.0
756,,10.0,,10.0,8.0
757,,8.0,2.0,8.0,10.0
758,118500.0,7.0,,8.0,7.0
759,,9.0,1.0,6.0,9.0
760,,7.0,,8.0,8.0
761,,8.0,4.0,8.0,
762,50000.0,8.0,,8.0,10.0
763,,6.0,,8.0,
764,,8.0,0.0,8.0,
765,2258.06451612903,10.0,,9.0,8.0
766,,0.0,2.0,2.0,9.0
767,,,1.0,,7.0
768,,2.0,1.0,2.0,7.0
769,,6.0,3.0,,8.0
770,178000.0,7.0,1.0,7.0,8.0
771,,,,,
772,,7.0,,6.0,9.0
773,,8.0,,9.0,7.0
774,111000.0,7.0,,2.0,7.0
775,,10.0,0.0,8.0,
776,,5.0,,,
777,,7.0,0.0,5.0,6.0
778,51000.0,4.0,,4.0,7.0
779,,,1.0,,9.0
780,43870.9677419355,7.0,2.0,7.0,9.0
781,37634.4086021505,5.0,1.0,5.0,7.0
782,,,0.0,,10.0
783,,8.0,,5.0,
784,,6.0,5.0,6.0,9.0
785,,8.0,,8.0,7.0
786,63440.8602150538,9.0,,8.0,9.0
787,,5.0,,5.0,
788,,6.0,,6.0,
789,,5.0,1.0,3.0,
790,,7.0,2.0,6.0,9.0
791,,6.0,,6.0,
792,,8.0,,10.0,
793,,10.0,,10.0,5.0
794,90000.0,8.0,,8.0,
795,,5.0,2.0,7.0,7.0
796,,10.0,,10.0,10.0
797,,5.0,2.0,4.0,8.0
798,,,3.0,,8.0
799,79.5454545454545,7.0,2.0,3.0,8.0
800,9600.0,10.0,,8.0,8.0
801,,8.0,0.0,8.0,7.0
802,,9.0,,9.0,7.0
803,,7.0,,,8.0
804,,7.0,,8.0,7.0
805,,7.0,,8.0,6.0
806,,7.0,,7.0,9.0
807,90000.0,10.0,,5.0,8.0
808,65000.0,6.0,,7.0,10.0
809,100000.0,8.0,,9.0,8.0
810,90909.0909090909,7.0,,7.0,7.0
811,,6.0,1.0,6.0,
812,,10.0,,10.0,
813,,6.0,,8.0,9.0
814,,,,,
815,,10.0,40.0,,9.0
